,name,nationality,position,club,age,tackles_attemped,tackles_won,def_3rd_tackles,mid_3rd_tackles,off_3rd_tackles,dribbler_tackles_won,dribbler_tackles_attempted,dribber_tackles_success_rate,dribber_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors_leading_to_shots,tackles_attemped_per_90,tackles_won_per_90,def_3rd_tackles_per_90,mid_3rd_tackles_per_90,off_3rd_tackles_per_90,dribbler_tackles_won_per_90,dribbler_tackles_attempted_per_90,dribber_tackles_lost_per_90,blocks_per_90,shots_blocked_per_90,passes_blocked_per_90,interceptions_per_90,tackles_and_interceptions_per_90,clearances_per_90,errors_leading_to_shots_per_90
345,Gerard Martín,ESP,DF,Barcelona,22.0,22,10,10,7,5,11,16,68.8,5,16,2,14,13,35,27,0,1.91,0.87,0.87,0.61,0.43,0.96,1.39,0.43,1.39,0.17,1.22,1.13,3.04,2.35,0.0
346,Iván Martín,ESP,MF,Girona,25.0,32,19,14,14,4,15,34,44.1,19,20,6,14,11,43,15,1,1.41,0.84,0.62,0.62,0.18,0.66,1.5,0.84,0.88,0.26,0.62,0.48,1.89,0.66,0.04
347,Jon Martin,ESP,DF,Real Sociedad,18.0,11,9,7,3,1,6,9,66.7,3,13,9,4,7,18,80,1,1.1,0.9,0.7,0.3,0.1,0.6,0.9,0.3,1.3,0.9,0.4,0.7,1.8,8.0,0.1
348,Mario Martín,ESP,MF,Valladolid,20.0,62,32,31,27,4,21,49,42.9,28,32,7,25,21,83,46,7,3.2,1.65,1.6,1.39,0.21,1.08,2.53,1.44,1.65,0.36,1.29,1.08,4.28,2.37,0.36
349,Arnau Martinez,ESP,"DF,MF",Girona,21.0,51,28,30,15,6,32,63,50.8,31,18,6,12,31,82,76,2,1.75,0.96,1.03,0.51,0.21,1.1,2.16,1.06,0.62,0.21,0.41,1.06,2.81,2.6,0.07
350,Iñigo Martínez,ESP,DF,Barcelona,33.0,25,14,20,5,0,16,22,72.7,6,18,7,11,18,43,108,1,0.9,0.51,0.72,0.18,0.0,0.58,0.79,0.22,0.65,0.25,0.4,0.65,1.55,3.9,0.04
351,Javi Martínez,ESP,MF,Osasuna,24.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,Ramón Martínez,ESP,DF,Sevilla,21.0,6,3,5,1,0,3,5,60.0,2,2,1,1,2,8,23,0,2.07,1.03,1.72,0.34,0.0,1.03,1.72,0.69,0.69,0.34,0.34,0.69,2.76,7.93,0.0
353,Toni Martínez,ESP,FW,Alavés,27.0,12,7,5,4,3,4,8,50.0,4,8,2,6,1,13,15,0,1.07,0.63,0.45,0.36,0.27,0.36,0.71,0.36,0.71,0.18,0.54,0.09,1.16,1.34,0.0
354,Javi Martón,ESP,"FW,MF",Athletic Club,25.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,Marvin,ESP,"DF,FW",Las Palmas,24.0,25,13,12,9,4,11,26,42.3,15,17,6,11,15,40,34,0,2.17,1.13,1.04,0.78,0.35,0.96,2.26,1.3,1.48,0.52,0.96,1.3,3.48,2.96,0.0
356,Omar Mascarell,EQG,MF,Mallorca,31.0,27,13,13,13,1,14,35,40.0,21,33,21,12,49,76,59,3,1.22,0.59,0.59,0.59,0.05,0.63,1.58,0.95,1.49,0.95,0.54,2.22,3.44,2.67,0.14
357,Jaime Mata,ESP,"FW,MF",Las Palmas,35.0,8,2,2,6,0,3,9,33.3,6,5,1,4,3,11,11,0,1.1,0.27,0.27,0.82,0.0,0.41,1.23,0.82,0.68,0.14,0.55,0.41,1.51,1.51,0.0
358,Borja Mayoral,ESP,FW,Getafe,27.0,5,4,2,2,1,3,9,33.3,6,4,0,4,2,7,6,0,0.4,0.32,0.16,0.16,0.08,0.24,0.73,0.48,0.32,0.0,0.32,0.16,0.56,0.48,0.0
359,Kylian Mbappé,FRA,FW,Real Madrid,25.0,8,5,1,3,4,1,5,20.0,4,3,0,3,1,9,1,1,0.25,0.15,0.03,0.09,0.12,0.03,0.15,0.12,0.09,0.0,0.09,0.03,0.28,0.03,0.03
360,Oliver McBurnie,SCO,FW,Las Palmas,28.0,15,7,5,8,2,5,12,41.7,7,15,5,10,6,21,24,0,0.74,0.34,0.25,0.39,0.1,0.25,0.59,0.34,0.74,0.25,0.49,0.29,1.03,1.18,0.0
361,Scott McKenna,SCO,DF,Las Palmas,27.0,21,13,16,5,0,9,12,75.0,3,36,28,8,9,30,163,2,0.77,0.47,0.58,0.18,0.0,0.33,0.44,0.11,1.31,1.02,0.29,0.33,1.09,5.95,0.07
362,Mateo Mejía,ESP,FW,Sevilla,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,Arthur Melo,BRA,MF,Girona,27.0,25,11,8,12,5,14,27,51.9,13,5,1,4,8,33,12,1,2.38,1.05,0.76,1.14,0.48,1.33,2.57,1.24,0.48,0.1,0.38,0.76,3.14,1.14,0.1
364,Brais Méndez,ESP,MF,Real Sociedad,27.0,24,13,6,14,4,9,24,37.5,15,14,1,13,7,31,16,1,1.41,0.76,0.35,0.82,0.24,0.53,1.41,0.88,0.82,0.06,0.76,0.41,1.82,0.94,0.06
365,Ferland Mendy,FRA,DF,Real Madrid,29.0,17,14,7,6,4,9,12,75.0,3,11,4,7,9,26,8,1,1.52,1.25,0.63,0.54,0.36,0.8,1.07,0.27,0.98,0.36,0.63,0.8,2.32,0.71,0.09
366,Nobel Mendy,FRA,DF,Betis,19.0,0,0,0,0,0,0,0,,0,2,0,2,4,4,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,1.67,3.33,3.33,8.33,0.83
367,Víctor Meseguer,ESP,MF,Valladolid,25.0,10,6,4,4,2,2,10,20.0,8,3,0,3,2,12,4,1,2.17,1.3,0.87,0.87,0.43,0.43,2.17,1.74,0.65,0.0,0.65,0.43,2.61,0.87,0.22
368,Miguel,ESP,FW,Leganés,24.0,16,7,6,4,6,4,14,28.6,10,15,4,11,4,20,23,1,0.83,0.36,0.31,0.21,0.31,0.21,0.73,0.52,0.78,0.21,0.57,0.21,1.04,1.2,0.05
369,Éder Militão,BRA,DF,Real Madrid,26.0,19,17,14,5,0,7,12,58.3,5,13,8,5,12,31,35,0,1.83,1.63,1.35,0.48,0.0,0.67,1.15,0.48,1.25,0.77,0.48,1.15,2.98,3.37,0.0
370,Luis Milla,ESP,MF,Getafe,29.0,61,40,28,25,8,35,72,48.6,37,25,0,25,24,85,28,3,1.91,1.25,0.88,0.78,0.25,1.1,2.26,1.16,0.78,0.0,0.78,0.75,2.66,0.88,0.09
371,Pere Milla,ESP,"MF,FW",Espanyol,31.0,6,2,5,0,1,1,18,5.6,17,10,2,8,3,9,5,0,1.18,0.39,0.98,0.0,0.2,0.2,3.53,3.33,1.96,0.39,1.57,0.59,1.76,0.98,0.0
372,Óscar Mingueza,ESP,"MF,DF",Celta Vigo,25.0,38,24,21,12,5,26,69,37.7,43,35,5,30,22,60,46,7,1.25,0.79,0.69,0.4,0.17,0.86,2.28,1.42,1.16,0.17,0.99,0.73,1.98,1.52,0.23
373,Kim Minsu,KOR,"MF,FW",Girona,18.0,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
374,Bojan Miovski,MKD,FW,Girona,25.0,7,5,2,2,3,2,7,28.6,5,4,0,4,2,9,7,0,0.72,0.52,0.21,0.21,0.31,0.21,0.72,0.52,0.41,0.0,0.41,0.21,0.93,0.72,0.0
375,Rafa Mir,ESP,"FW,MF",Valencia,27.0,12,6,8,4,0,3,9,33.3,6,5,0,5,5,17,9,0,1.43,0.71,0.95,0.48,0.0,0.36,1.07,0.71,0.6,0.0,0.6,0.6,2.02,1.07,0.0
376,Luka Modrić,CRO,MF,Real Madrid,38.0,31,20,16,13,2,14,32,43.8,18,17,5,12,27,58,17,0,1.53,0.99,0.79,0.64,0.1,0.69,1.58,0.89,0.84,0.25,0.59,1.33,2.86,0.84,0.0
377,Johan Mojica,COL,DF,Mallorca,31.0,35,23,26,6,3,19,40,47.5,21,13,5,8,26,61,84,3,1.14,0.75,0.85,0.2,0.1,0.62,1.31,0.69,0.42,0.16,0.26,0.85,1.99,2.75,0.1
378,Alberto Moleiro,ESP,"FW,MF",Las Palmas,20.0,27,12,12,14,1,18,48,37.5,30,24,0,24,18,45,8,0,0.89,0.4,0.4,0.46,0.03,0.6,1.59,0.99,0.79,0.0,0.79,0.6,1.49,0.26,0.0
379,Nahuel Molina,ARG,DF,Atlético Madrid,26.0,44,19,21,21,2,31,56,55.4,25,16,3,13,13,57,53,0,2.49,1.07,1.19,1.19,0.11,1.75,3.16,1.41,0.9,0.17,0.73,0.73,3.22,2.99,0.0
380,Jon Moncayola,ESP,MF,Osasuna,26.0,70,41,29,33,8,31,60,51.7,29,34,3,31,11,81,20,0,3.0,1.76,1.24,1.42,0.34,1.33,2.58,1.24,1.46,0.13,1.33,0.47,3.48,0.86,0.0
381,Gonzalo Montiel,ARG,"DF,MF",Sevilla,27.0,4,2,3,1,0,3,4,75.0,1,0,0,0,2,6,11,0,3.08,1.54,2.31,0.77,0.0,2.31,3.08,0.77,0.0,0.0,0.0,1.54,4.62,8.46,0.0
382,Gerard Moreno,ESP,FW,Villarreal,32.0,7,4,3,2,2,3,12,25.0,9,0,0,0,2,9,8,0,0.88,0.5,0.38,0.25,0.25,0.38,1.5,1.13,0.0,0.0,0.0,0.25,1.13,1.0,0.0
383,Xavier Moreno,ESP,FW,Valladolid,19.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
384,Mateu Morey,ESP,DF,Mallorca,24.0,22,18,13,6,3,12,22,54.5,10,11,0,11,15,37,32,2,2.68,2.2,1.59,0.73,0.37,1.46,2.68,1.22,1.34,0.0,1.34,1.83,4.51,3.9,0.24
385,Ilaix Moriba,GUI,MF,Celta Vigo,21.0,68,42,24,30,14,32,57,56.1,25,29,4,25,14,82,33,1,2.87,1.77,1.01,1.27,0.59,1.35,2.41,1.05,1.22,0.17,1.05,0.59,3.46,1.39,0.04
386,Manu Morlanes,ESP,MF,Mallorca,25.0,43,27,18,20,5,18,30,60.0,12,19,8,11,24,67,16,0,2.89,1.81,1.21,1.34,0.34,1.21,2.01,0.81,1.28,0.54,0.74,1.61,4.5,1.07,0.0
387,Raúl Moro,ESP,"MF,FW",Valladolid,21.0,22,13,15,4,3,13,32,40.6,19,8,0,8,10,32,20,1,0.85,0.5,0.58,0.15,0.12,0.5,1.23,0.73,0.31,0.0,0.31,0.38,1.23,0.77,0.04
388,Cristhian Mosquera,ESP,DF,Valencia,20.0,56,36,41,13,2,31,40,77.5,9,37,24,13,35,91,128,4,1.52,0.98,1.11,0.35,0.05,0.84,1.08,0.24,1.0,0.65,0.35,0.95,2.47,3.47,0.11
389,Santiago Mouriño,URU,DF,Alavés,22.0,43,28,31,12,0,21,38,55.3,17,27,12,15,29,72,120,0,2.1,1.37,1.51,0.59,0.0,1.02,1.85,0.83,1.32,0.59,0.73,1.41,3.51,5.85,0.0
390,Abdul Mumin,GHA,DF,Rayo Vallecano,26.0,37,25,30,7,0,17,27,63.0,10,40,29,11,23,60,125,0,1.65,1.12,1.34,0.31,0.0,0.76,1.21,0.45,1.79,1.29,0.49,1.03,2.68,5.58,0.0
391,Aihen Muñoz,ESP,DF,Real Sociedad,26.0,24,12,14,8,2,14,28,50.0,14,11,6,5,14,38,47,0,1.97,0.98,1.15,0.66,0.16,1.15,2.3,1.15,0.9,0.49,0.41,1.15,3.11,3.85,0.0
392,Álex Muñoz,ESP,DF,Las Palmas,30.0,39,29,22,16,1,21,38,55.3,17,28,11,17,16,55,69,0,2.48,1.85,1.4,1.02,0.06,1.34,2.42,1.08,1.78,0.7,1.08,1.02,3.5,4.39,0.0
393,Iker Muñoz,ESP,MF,Osasuna,21.0,5,2,3,2,0,3,9,33.3,6,9,2,7,4,9,12,1,0.74,0.29,0.44,0.29,0.0,0.44,1.32,0.88,1.32,0.29,1.03,0.59,1.32,1.76,0.15
394,Javier Muñoz,ESP,"MF,DF",Las Palmas,29.0,45,35,18,17,10,16,46,34.8,30,27,4,23,31,76,39,3,1.56,1.22,0.63,0.59,0.35,0.56,1.6,1.04,0.94,0.14,0.8,1.08,2.64,1.35,0.1
395,Víctor Muñoz,ESP,"FW,DF",Real Madrid,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Vedat Muriqi,KVX,FW,Mallorca,30.0,7,5,3,2,2,3,7,42.9,4,7,1,6,7,14,43,0,0.31,0.22,0.13,0.09,0.09,0.13,0.31,0.17,0.31,0.04,0.26,0.31,0.61,1.88,0.0
397,Juan Musso,ARG,GK,Atlético Madrid,30.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Matija Nastasić,SRB,DF,Leganés,31.0,25,11,21,4,0,17,25,68.0,8,39,30,9,21,46,165,0,1.07,0.47,0.9,0.17,0.0,0.73,1.07,0.34,1.67,1.28,0.38,0.9,1.97,7.05,0.0
399,Natan,BRA,DF,Betis,23.0,35,24,24,9,2,26,30,86.7,4,24,14,10,28,63,123,2,1.45,0.99,0.99,0.37,0.08,1.07,1.24,0.17,0.99,0.58,0.41,1.16,2.6,5.08,0.08
400,Pau Navarro,ESP,DF,Villarreal,19.0,23,17,15,6,2,19,39,48.7,20,13,6,7,4,27,41,0,2.25,1.67,1.47,0.59,0.2,1.86,3.82,1.96,1.27,0.59,0.69,0.39,2.65,4.02,0.0
401,Roberto Navarro,ESP,"MF,FW",Mallorca,22.0,29,22,14,11,4,9,19,47.4,10,18,0,18,19,48,12,0,2.04,1.55,0.99,0.77,0.28,0.63,1.34,0.7,1.27,0.0,1.27,1.34,3.38,0.85,0.0
402,Jesús Navas,ESP,"FW,MF",Sevilla,38.0,5,2,3,0,2,0,3,0.0,3,1,0,1,4,9,6,0,1.06,0.43,0.64,0.0,0.43,0.0,0.64,0.64,0.21,0.0,0.21,0.85,1.91,1.28,0.0
403,Yvan Neyou,CMR,MF,Leganés,27.0,53,33,21,26,6,22,47,46.8,25,35,5,30,26,79,38,1,2.06,1.28,0.82,1.01,0.23,0.86,1.83,0.97,1.36,0.19,1.17,1.01,3.07,1.48,0.04
404,Tanguy Nianzou,FRA,DF,Sevilla,22.0,7,5,6,0,1,5,6,83.3,1,1,0,1,8,15,27,0,1.21,0.86,1.03,0.0,0.17,0.86,1.03,0.17,0.17,0.0,0.17,1.38,2.59,4.66,0.0
405,Saúl Ñíguez,ESP,MF,Sevilla,29.0,47,32,16,24,7,12,31,38.7,19,25,2,23,22,69,34,0,2.72,1.85,0.92,1.39,0.4,0.69,1.79,1.1,1.45,0.12,1.33,1.27,3.99,1.97,0.0
406,Tamás Nikitscher,HUN,"MF,DF",Valladolid,24.0,17,8,8,9,0,8,13,61.5,5,17,4,13,11,28,16,1,1.79,0.84,0.84,0.95,0.0,0.84,1.37,0.53,1.79,0.42,1.37,1.16,2.95,1.68,0.11
407,Adrian Niño,ESP,FW,Atlético Madrid,20.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,Hugo Novoa,ESP,"DF,MF",Alavés,21.0,8,5,4,3,1,5,5,100.0,0,2,1,1,0,8,6,0,3.08,1.92,1.54,1.15,0.38,1.92,1.92,0.0,0.77,0.38,0.38,0.0,3.08,2.31,0.0
409,Randy Nteka,ANG,FW,Rayo Vallecano,26.0,16,5,3,9,4,5,12,41.7,7,13,2,11,4,20,20,0,1.28,0.4,0.24,0.72,0.32,0.4,0.96,0.56,1.04,0.16,0.88,0.32,1.6,1.6,0.0
410,Unai Núñez,ESP,DF,Athletic Club,27.0,10,5,7,3,0,4,7,57.1,3,4,4,0,17,27,46,1,1.39,0.69,0.97,0.42,0.0,0.56,0.97,0.42,0.56,0.56,0.0,2.36,3.75,6.39,0.14
411,Ørjan Nyland,NOR,GK,Sevilla,33.0,3,2,3,0,0,3,5,60.0,2,0,0,0,0,3,12,4,0.1,0.07,0.1,0.0,0.0,0.1,0.17,0.07,0.0,0.0,0.0,0.0,0.1,0.4,0.13
412,Allan Nyom,CMR,"DF,MF",Getafe,36.0,18,11,7,9,2,15,17,88.2,2,4,2,2,4,22,23,0,1.82,1.11,0.71,0.91,0.2,1.52,1.72,0.2,0.4,0.2,0.2,0.4,2.22,2.32,0.0
413,Jan Oblak,SVN,GK,Atlético Madrid,31.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.06
414,Lucas Ocampos,ARG,FW,Sevilla,30.0,3,2,2,0,1,1,2,50.0,1,2,0,2,0,3,2,0,1.58,1.05,1.05,0.0,0.53,0.53,1.05,0.53,1.05,0.0,1.05,0.0,1.58,1.05,0.0
415,Álvaro Odriozola,ESP,DF,Real Sociedad,28.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
416,Thiago Ojeda,ARG,MF,Villarreal,21.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
417,Aingeru Olabarrieta,ESP,FW,Athletic Club,18.0,0,0,0,0,0,0,0,,0,2,0,2,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,1.67,1.67,1.67,0.0
418,Olasagasti,ESP,MF,Real Sociedad,23.0,21,10,7,9,5,8,18,44.4,10,8,2,6,15,36,10,0,2.21,1.05,0.74,0.95,0.53,0.84,1.89,1.05,0.84,0.21,0.63,1.58,3.79,1.05,0.0
419,Brian Oliván,ESP,DF,Espanyol,30.0,13,10,7,6,0,4,13,30.8,9,6,2,4,10,23,23,0,1.15,0.88,0.62,0.53,0.0,0.35,1.15,0.8,0.53,0.18,0.35,0.88,2.04,2.04,0.0
420,Lucas Oliveira Rosa,BRA,DF,Valladolid,24.0,53,33,40,11,2,35,51,68.6,16,24,9,15,28,81,69,2,2.52,1.57,1.9,0.52,0.1,1.67,2.43,0.76,1.14,0.43,0.71,1.33,3.86,3.29,0.1
421,Dani Olmo,ESP,"MF,FW",Barcelona,26.0,16,11,8,5,3,4,14,28.6,10,6,3,3,3,19,11,1,1.19,0.81,0.59,0.37,0.22,0.3,1.04,0.74,0.44,0.22,0.22,0.22,1.41,0.81,0.07
422,Aimar Oroz,ESP,MF,Osasuna,22.0,35,19,16,13,6,14,46,30.4,32,29,2,27,20,55,10,0,1.06,0.58,0.48,0.39,0.18,0.42,1.39,0.97,0.88,0.06,0.82,0.61,1.67,0.3,0.0
423,Ángel Ortíz,ESP,DF,Betis,20.0,12,8,8,3,1,8,17,47.1,9,6,0,6,5,17,7,0,3.08,2.05,2.05,0.77,0.26,2.05,4.36,2.31,1.54,0.0,1.54,1.28,4.36,1.79,0.0
424,Gabriel Osei Misehouy,NED,"FW,MF",Girona,19.0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,0,0,0.34,0.34,0.0,0.34,0.0,0.0,0.34,0.34,0.0,0.0,0.0,0.0,0.34,0.0,0.0
425,David Otorbi,ESP,MF,Valencia,16.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0
426,Jesús Owono,EQG,GK,Alavés,23.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,0.19,0.19,0.19,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.0,0.19,0.37,0.0
427,Mikel Oyarzabal,ESP,FW,Real Sociedad,27.0,25,16,9,10,6,10,23,43.5,13,17,1,16,4,29,15,0,1.0,0.64,0.36,0.4,0.24,0.4,0.92,0.52,0.68,0.04,0.64,0.16,1.16,0.6,0.0
428,Cenk Özkacar,TUR,DF,Valladolid,23.0,9,5,7,2,0,4,14,28.6,10,9,6,3,18,27,69,1,1.07,0.6,0.83,0.24,0.0,0.48,1.67,1.19,1.07,0.71,0.36,2.14,3.21,8.21,0.12
429,Jon Pacheco,ESP,DF,Real Sociedad,23.0,15,9,12,3,0,10,12,83.3,2,8,6,2,9,24,49,2,1.58,0.95,1.26,0.32,0.0,1.05,1.26,0.21,0.84,0.63,0.21,0.95,2.53,5.16,0.21
430,Alex Padilla,ESP,GK,Athletic Club,20.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.28
431,Isaac Palazón Camacho,ESP,"MF,FW",Rayo Vallecano,29.0,22,17,10,6,6,8,34,23.5,26,22,3,19,8,30,13,1,0.92,0.71,0.42,0.25,0.25,0.33,1.42,1.08,0.92,0.13,0.79,0.33,1.25,0.54,0.04
432,Aitor Paredes,ESP,DF,Athletic Club,24.0,15,13,10,5,0,8,15,53.3,7,26,15,11,22,37,114,4,0.75,0.65,0.5,0.25,0.0,0.4,0.75,0.35,1.29,0.75,0.55,1.09,1.84,5.67,0.2
433,Daniel Parejo,ESP,MF,Villarreal,35.0,52,40,27,20,5,29,54,53.7,25,24,7,17,24,76,40,1,2.06,1.58,1.07,0.79,0.2,1.15,2.13,0.99,0.95,0.28,0.67,0.95,3.0,1.58,0.04
434,Iago Parente,ESP,DF,Valladolid,18.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0
435,Álvaro Pascual,ESP,FW,Sevilla,22.0,5,3,0,3,2,1,5,20.0,4,4,0,4,2,7,9,0,1.11,0.67,0.0,0.67,0.44,0.22,1.11,0.89,0.89,0.0,0.89,0.44,1.56,2.0,0.0
436,Alfonso Pedraza,ESP,"DF,MF",Villarreal,28.0,3,2,2,0,1,2,4,50.0,2,3,1,2,6,9,16,0,0.59,0.39,0.39,0.0,0.2,0.39,0.78,0.39,0.59,0.2,0.39,1.18,1.76,3.14,0.0
437,Pedri,ESP,MF,Barcelona,21.0,61,34,14,38,9,24,70,34.3,46,45,3,42,26,87,21,1,1.91,1.06,0.44,1.19,0.28,0.75,2.19,1.44,1.41,0.09,1.31,0.81,2.72,0.66,0.03
438,Adrià Pedrosa,ESP,DF,Sevilla,26.0,56,32,34,16,6,31,54,57.4,23,43,11,32,24,80,85,0,2.2,1.25,1.33,0.63,0.24,1.22,2.12,0.9,1.69,0.43,1.25,0.94,3.14,3.33,0.0
439,Pejiño,ESP,FW,Las Palmas,28.0,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
440,Andy Pelmard,FRA,DF,Las Palmas,24.0,5,0,3,2,0,4,5,80.0,1,3,1,2,2,7,20,0,2.17,0.0,1.3,0.87,0.0,1.74,2.17,0.43,1.3,0.43,0.87,0.87,3.04,8.7,0.0
441,Iñaki Peña,ESP,GK,Barcelona,25.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.29,0.06
442,Rubén Peña,ESP,"FW,DF",Osasuna,33.0,12,5,4,3,5,5,24,20.8,19,11,0,11,6,18,12,0,1.4,0.58,0.47,0.35,0.58,0.58,2.79,2.21,1.28,0.0,1.28,0.7,2.09,1.4,0.0
443,Nicolas Pépé,CIV,"FW,MF",Villarreal,29.0,22,9,12,6,4,6,17,35.3,11,12,1,11,5,27,12,0,1.32,0.54,0.72,0.36,0.24,0.36,1.02,0.66,0.72,0.06,0.66,0.3,1.62,0.72,0.0
444,Peque,ESP,"MF,FW",Sevilla,21.0,16,5,4,10,2,7,17,41.2,10,16,0,16,8,24,5,0,1.27,0.4,0.32,0.79,0.16,0.56,1.35,0.79,1.27,0.0,1.27,0.63,1.9,0.4,0.0
445,Ayoze Pérez,ESP,FW,Villarreal,31.0,27,14,5,18,4,6,24,25.0,18,17,0,17,8,35,15,0,1.23,0.64,0.23,0.82,0.18,0.27,1.1,0.82,0.78,0.0,0.78,0.37,1.6,0.68,0.0
446,Carles Pérez,ESP,"MF,FW",Getafe,26.0,33,23,11,14,8,21,48,43.8,27,19,2,17,6,39,22,0,2.08,1.45,0.69,0.88,0.5,1.32,3.02,1.7,1.19,0.13,1.07,0.38,2.45,1.38,0.0
447,Francisco Perez,ESP,"FW,MF",Valencia,21.0,17,12,7,8,2,10,16,62.5,6,8,1,7,3,20,6,0,2.7,1.9,1.11,1.27,0.32,1.59,2.54,0.95,1.27,0.16,1.11,0.48,3.17,0.95,0.0
448,Kike Pérez,ESP,MF,Valladolid,27.0,37,26,15,19,3,15,26,57.7,11,16,4,12,7,44,18,0,2.8,1.97,1.14,1.44,0.23,1.14,1.97,0.83,1.21,0.3,0.91,0.53,3.33,1.36,0.0
449,Luis Pérez,ESP,DF,Valladolid,29.0,41,30,25,11,5,24,40,60.0,16,26,9,17,29,70,86,0,1.44,1.06,0.88,0.39,0.18,0.85,1.41,0.56,0.92,0.32,0.6,1.02,2.46,3.03,0.0
450,Romain Perraud,FRA,DF,Betis,26.0,36,22,15,16,5,21,46,45.7,25,18,4,14,22,58,71,1,1.62,0.99,0.68,0.72,0.23,0.95,2.07,1.13,0.81,0.18,0.63,0.99,2.61,3.2,0.05
451,Valentín Pezzolesi,ESP,DF,Las Palmas,17.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0
452,Pica,ESP,DF,Alavés,22.0,9,7,7,2,0,4,9,44.4,5,7,6,1,9,18,26,0,1.64,1.27,1.27,0.36,0.0,0.73,1.64,0.91,1.27,1.09,0.18,1.64,3.27,4.73,0.0
453,Yeremi Pino,ESP,"MF,FW",Villarreal,21.0,60,32,20,32,8,32,65,49.2,33,38,3,35,8,68,18,0,2.79,1.49,0.93,1.49,0.37,1.49,3.02,1.53,1.77,0.14,1.63,0.37,3.16,0.84,0.0
454,Portu,ESP,"FW,MF",Girona,32.0,13,7,5,5,3,7,10,70.0,3,8,0,8,0,13,2,0,1.49,0.8,0.57,0.57,0.34,0.8,1.15,0.34,0.92,0.0,0.92,0.0,1.49,0.23,0.0
455,Beñat Prados,ESP,MF,Athletic Club,23.0,55,36,20,27,8,25,53,47.2,28,21,2,19,28,83,26,0,2.88,1.88,1.05,1.41,0.42,1.31,2.77,1.47,1.1,0.1,0.99,1.47,4.35,1.36,0.0
