,name,nationality,position,club,age,tackles_attemped,tackles_won,def_3rd_tackles,mid_3rd_tackles,off_3rd_tackles,dribbler_tackles_won,dribbler_tackles_attempted,dribber_tackles_success_rate,dribber_tackles_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_and_interceptions,clearances,errors_leading_to_shots,tackles_attemped_per_90,tackles_won_per_90,def_3rd_tackles_per_90,mid_3rd_tackles_per_90,off_3rd_tackles_per_90,dribbler_tackles_won_per_90,dribbler_tackles_attempted_per_90,dribber_tackles_lost_per_90,blocks_per_90,shots_blocked_per_90,passes_blocked_per_90,interceptions_per_90,tackles_and_interceptions_per_90,clearances_per_90,errors_leading_to_shots_per_90
267,Borja Iglesias,ESP,FW,Celta Vigo,31.0,10,9,2,5,3,4,15,26.7,11,9,2,7,7,17,10,0,0.46,0.41,0.09,0.23,0.14,0.18,0.69,0.51,0.41,0.09,0.32,0.32,0.78,0.46,0.0
268,Kelechi Iheanacho,NGA,FW,Sevilla,27.0,1,0,0,1,0,1,3,33.3,2,0,0,0,0,1,1,0,0.23,0.0,0.0,0.23,0.0,0.23,0.68,0.45,0.0,0.0,0.0,0.0,0.23,0.23,0.0
269,Isco,ESP,MF,Betis,32.0,20,13,3,13,4,7,28,25.0,21,10,0,10,11,31,7,0,1.16,0.76,0.17,0.76,0.23,0.41,1.63,1.22,0.58,0.0,0.58,0.64,1.8,0.41,0.0
270,Diego Iturralde,ESP,FW,Sevilla,21.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,2.5,0.0
271,Ivan Jaime Pajuelo,ESP,MF,Valencia,23.0,8,5,2,3,3,4,5,80.0,1,2,0,2,2,10,0,0,2.42,1.52,0.61,0.91,0.91,1.21,1.52,0.3,0.61,0.0,0.61,0.61,3.03,0.0,0.0
272,Karl Jakob Hein,EST,GK,Valladolid,22.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,19,2,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.61,0.06
273,Adnan Januzaj,BEL,"MF,FW",Las Palmas,29.0,10,6,1,6,3,5,9,55.6,4,6,0,6,2,12,3,0,1.52,0.91,0.15,0.91,0.45,0.76,1.36,0.61,0.91,0.0,0.91,0.3,1.82,0.45,0.0
274,Mikel Jauregizar,ESP,MF,Athletic Club,20.0,84,48,25,45,14,41,83,49.4,42,24,4,20,29,113,36,2,3.37,1.93,1.0,1.81,0.56,1.65,3.33,1.69,0.96,0.16,0.8,1.16,4.54,1.45,0.08
275,John Joe,IRL,"MF,FW",Getafe,20.0,0,0,0,0,0,0,0,,0,1,1,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
276,Jofre,ESP,"MF,FW",Espanyol,23.0,22,16,14,5,3,13,23,56.5,10,13,0,13,15,37,29,0,0.91,0.66,0.58,0.21,0.12,0.54,0.95,0.41,0.54,0.0,0.54,0.62,1.54,1.2,0.0
277,Frenkie de Jong,NED,MF,Barcelona,27.0,19,11,5,8,6,8,16,50.0,8,9,1,8,12,31,7,1,1.5,0.87,0.39,0.63,0.47,0.63,1.26,0.63,0.71,0.08,0.63,0.94,2.44,0.55,0.08
278,Joan Jordán,ESP,MF,Alavés,30.0,32,18,11,17,4,17,30,56.7,13,12,0,12,9,41,21,0,2.04,1.15,0.7,1.08,0.25,1.08,1.91,0.83,0.76,0.0,0.76,0.57,2.61,1.34,0.0
279,Juanmi,ESP,"FW,MF",Getafe,31.0,14,11,4,7,3,6,19,31.6,13,6,0,6,2,16,3,0,1.82,1.43,0.52,0.91,0.39,0.78,2.47,1.69,0.78,0.0,0.78,0.26,2.08,0.39,0.0
280,Juanmi,ESP,"FW,MF",Betis,31.0,7,4,3,3,1,4,6,66.7,2,4,0,4,1,8,4,0,2.59,1.48,1.11,1.11,0.37,1.48,2.22,0.74,1.48,0.0,1.48,0.37,2.96,1.48,0.0
281,Juanpe,ESP,DF,Girona,33.0,8,5,5,3,0,6,8,75.0,2,15,10,5,8,16,56,1,0.99,0.62,0.62,0.37,0.0,0.74,0.99,0.25,1.85,1.23,0.62,0.99,1.98,6.91,0.12
282,Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,23.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.06
283,Vinicius Júnior,BRA,FW,Real Madrid,24.0,21,10,7,4,10,5,18,27.8,13,9,0,9,3,24,1,2,0.84,0.4,0.28,0.16,0.4,0.2,0.72,0.52,0.36,0.0,0.36,0.12,0.96,0.04,0.08
284,Stanko Jurić,CRO,MF,Valladolid,27.0,48,24,26,19,3,19,48,39.6,29,35,11,24,24,72,52,0,2.5,1.25,1.35,0.99,0.16,0.99,2.5,1.51,1.82,0.57,1.25,1.25,3.75,2.71,0.0
285,Willy Kambwala,FRA,DF,Villarreal,19.0,17,12,14,2,1,10,12,83.3,2,10,7,3,10,27,56,1,1.37,0.97,1.13,0.16,0.08,0.81,0.97,0.16,0.81,0.56,0.24,0.81,2.18,4.52,0.08
286,Abdoulaye Keita,ESP,"FW,MF",Getafe,21.0,2,2,0,1,1,2,4,50.0,2,1,0,1,0,2,3,0,1.82,1.82,0.0,0.91,0.91,1.82,3.64,1.82,0.91,0.0,0.91,0.0,1.82,2.73,0.0
287,Kenedy,BRA,"MF,FW",Valladolid,28.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0
288,Kiké,ESP,FW,Alavés,34.0,19,14,1,12,6,6,17,35.3,11,11,4,7,1,20,23,0,0.67,0.5,0.04,0.43,0.21,0.21,0.6,0.39,0.39,0.14,0.25,0.04,0.71,0.82,0.0
289,Koke,ESP,MF,Atlético Madrid,32.0,46,23,18,22,6,21,43,48.8,22,24,2,22,20,66,29,2,2.15,1.07,0.84,1.03,0.28,0.98,2.01,1.03,1.12,0.09,1.03,0.93,3.08,1.36,0.09
290,Jules Koundé,FRA,DF,Barcelona,25.0,63,43,29,23,11,44,66,66.7,22,35,5,30,20,83,68,2,2.18,1.49,1.0,0.8,0.38,1.52,2.28,0.76,1.21,0.17,1.04,0.69,2.87,2.35,0.07
291,Alex Král,CZE,MF,Espanyol,26.0,55,37,28,24,3,16,30,53.3,14,34,14,20,28,83,51,2,1.82,1.23,0.93,0.79,0.1,0.53,0.99,0.46,1.13,0.46,0.66,0.93,2.75,1.69,0.07
