Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,69.5,2.42,14.7,42.9,12.4,0.82,69.5,1.1,0.73,66.7,0.32,29.2,41.5,176.8,74.7,1.14,0.64,0.05,1.23,0.96,48.6,1.37,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,69.4,1.49,15,26.9,27.9,4.69,69.4,4.11,1.83,44.4,2.17,52.8,41.5,223.4,129.5,4.23,2.17,2.34,1.89,0.69,46.7,9.77,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,44.4,0.32,3.76,18,23.3,4.16,44.2,2.33,1.22,52.3,1,43.1,27.8,165.6,78.8,2.83,1.83,1.04,2.22,1.43,32,5.81,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,72,5.05,28,41.7,2.78,0.71,72,0.45,0.3,66.7,0.15,33.3,40,249.2,159.8,0.96,0.4,0,0.56,0.35,45.6,0,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,39.7,0.46,6.6,21.8,12,1.18,39.6,4.44,2.16,48.5,1.76,39.7,20.1,121.6,54.6,1.57,1.11,0.39,2.29,1.63,23.1,1.76,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,39.5,0.95,5.71,16.9,17.4,2.86,39.5,3.81,1.67,43.8,2.14,56.3,24.5,146.7,75.7,2.38,2.14,0.95,2.38,0.95,28.3,6.9,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,28.2,0.98,3.48,15.8,9.7,2.42,28.2,3.11,1.29,41.5,1.36,43.9,14.8,76.5,26.1,0.83,0.68,0.38,3.03,1.74,19.3,2.95,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,40,0,6.67,13.3,23.3,0,40,3.33,0,0,3.33,100,16.7,173.3,143.3,3.33,3.33,0,6.67,3.33,26.7,10,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,32.4,0.88,6.49,13.2,13.9,1.75,32.4,4.74,2.54,53.7,1.49,31.5,18.9,136.5,84.7,3.07,2.02,0.44,2.37,1.05,19.7,5.53,Matches
37,Antony,br BRA,FW,Betis,24,2000,15.1,65,0.6,6.62,20.9,38.7,4.17,65,4.17,1.59,38.1,2.19,52.4,43.9,302.6,180.7,6.23,5.1,1.99,3.51,1.32,49.7,10.4,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,36.9,1.62,11.2,17,9.06,1.47,36.9,1.26,0.37,29.2,0.63,50,18.8,112.3,43.7,1.26,0.79,0.31,1.31,0.73,22.5,3.56,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,43,6,29.5,13,0.5,0.5,43,0,0,,0,,22,126.5,68.5,0,0,0,0.5,0,24,0,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,38.7,1.52,6.86,23.4,8.92,2.43,38.6,1.15,0.61,52.9,0.41,35.3,18,79.9,29.2,0.57,0.27,0.1,2.03,0.98,21,1.86,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,69.1,3.85,23.1,34.3,12.3,0.73,69.1,1.36,0.29,21.6,0.95,70.3,31,113.7,55,0.95,0.73,0,1.25,0.44,35.9,1.94,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,95,3.93,27,64.5,3.81,1.07,95,0.12,0,0,0.12,100,61.3,333.3,206.1,0.71,0.48,0,0.24,0.12,71,0.36,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,55,0,10,15,30,5,55,5,0,0,5,100,40,220,145,5,5,0,0,10,55,10,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,55.6,3.04,12.4,22.4,21.3,0.67,55.6,1.87,0.7,37.5,0.94,50,26.4,160.5,83.9,2.95,1.93,0.26,1.81,0.85,31.4,5.94,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,70,0,20,20,30,0,70,0,0,,0,,30,300,120,10,0,0,0,0,30,0,Matches
