Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
416,Álvaro Odriozola,es ESP,DF,Real Sociedad,28,1995,0.5,35,1,11,15,10,0,35,0,0,,0,,21,79,42,0,1,0,3,1,22,0,Matches
417,Thiago Ojeda,ar ARG,MF,Villarreal,21,2003,0.1,11,1,2,5,4,0,11,0,0,,0,,5,42,34,1,1,0,1,0,7,0,Matches
418,Aingeru Olabarrieta,es ESP,FW,Athletic Club,18,2005,0.6,25,1,2,11,13,0,25,4,1,25,3,75,15,106,59,2,2,0,0,1,18,3,Matches
419,Olasagasti,es ESP,MF,Real Sociedad,23,2000,9.5,512,13,71,294,153,20,512,13,3,23.1,8,61.5,258,1206,534,11,16,2,11,4,335,41,Matches
420,Brian Oliván,es ESP,DF,Espanyol,30,1994,11.3,540,27,157,233,151,8,540,4,1,25,3,75,248,1152,723,21,10,0,10,1,299,57,Matches
421,Lucas Oliveira Rosa,br BRA,DF,Valladolid,24,2000,21,1076,76,411,461,219,21,1076,31,14,45.2,13,41.9,447,2693,1460,31,24,5,29,11,550,74,Matches
422,Dani Olmo,es ESP,"MF,FW",Barcelona,26,1998,13.5,797,18,64,351,390,77,795,45,23,51.1,17,37.8,505,2477,1363,33,35,7,35,26,662,97,Matches
423,Aimar Oroz,es ESP,MF,Osasuna,22,2001,33,1432,13,174,682,607,73,1431,101,49,48.5,42,41.6,913,5564,2730,74,73,17,58,55,1038,142,Matches
424,Ángel Ortíz,es ESP,DF,Betis,20,2004,3.9,272,7,96,114,64,7,272,8,4,50,4,50,133,669,375,4,3,1,7,2,153,20,Matches
425,Gabriel Osei Misehouy,nl NED,"FW,MF",Girona,19,2005,2.9,128,1,5,61,64,7,128,11,7,63.6,4,36.4,100,599,228,5,5,0,7,7,107,22,Matches
426,David Otorbi,es ESP,MF,Valencia,16,2007,0.2,6,0,0,4,2,0,6,2,0,0,0,0,3,24,13,1,0,0,1,0,4,0,Matches
427,Jesús Owono,gq EQG,GK,Alavés,23,2001,5.4,173,144,173,0,0,0,173,1,1,100,0,0,88,405,281,0,0,0,0,0,76,0,Matches
428,Mikel Oyarzabal,es ESP,FW,Real Sociedad,27,1997,25,729,15,59,348,326,107,725,20,9,45,9,45,393,1837,772,31,18,16,63,30,532,133,Matches
429,Cenk Özkacar,tr TUR,DF,Valladolid,23,2000,8.4,507,88,313,187,8,6,507,0,0,,0,,244,1202,624,2,2,0,4,1,306,0,Matches
430,Jon Pacheco,es ESP,DF,Real Sociedad,23,2001,9.5,585,74,281,299,9,5,585,2,1,50,1,50,313,1925,1242,12,3,1,4,0,358,0,Matches
431,Alex Padilla,es ESP,GK,Athletic Club,20,2003,3.6,134,110,131,3,0,0,134,0,0,,0,,69,383,239,0,0,0,0,0,46,0,Matches
432,Isaac Palazón Camacho,es ESP,"MF,FW",Rayo Vallecano,29,1994,24,1285,12,120,592,583,43,1285,66,25,37.9,34,51.5,716,3520,1317,30,29,7,54,43,913,123,Matches
433,Aitor Paredes,es ESP,DF,Athletic Club,24,2000,20.1,1154,127,623,519,15,11,1154,1,0,0,1,100,596,2995,1615,4,3,0,7,1,708,2,Matches
434,Daniel Parejo,es ESP,MF,Villarreal,35,1989,25.3,1732,90,451,989,302,12,1730,12,8,66.7,3,25,898,3618,1638,19,29,0,17,13,1200,26,Matches
435,Iago Parente,es ESP,DF,Valladolid,18,2006,0.8,40,2,20,19,1,0,40,0,0,,0,,32,122,61,0,0,0,0,0,32,1,Matches
436,Álvaro Pascual,es ESP,FW,Sevilla,22,2002,4.5,132,9,18,47,70,20,132,2,1,50,1,50,67,282,79,4,3,3,22,5,84,27,Matches
437,Alfonso Pedraza,es ESP,"DF,MF",Villarreal,28,1996,5.1,274,17,91,90,96,16,274,19,9,47.4,9,47.4,155,1034,586,21,12,6,5,2,165,43,Matches
438,Pedri,es ESP,MF,Barcelona,21,2002,32,3060,37,279,1824,988,50,3060,61,40,65.6,20,32.8,2012,11238,5463,92,103,8,48,35,2389,136,Matches
