Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,0,0,0,3,0,0,0,1,1,0,1,0,1,2,5,28.6,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,0.3,0,0,0.96,2.22,0,1.04,1.04,1.56,0,0,0,6.44,0.15,0.07,66.7,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,0.33,0,0,1.33,0.33,0,2,2.67,1,0,0,0,4,1.33,2,40,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,0,0,0,2.14,0,0,2.14,1.43,0.71,0,0,0,1.43,0,0,,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,0.1,0,0,1.08,0.87,0.1,2.75,1.05,1.25,0,0.03,0,3.97,0.8,1.05,43.4,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,0.42,0,0,4.23,3.8,1.55,0.28,0.14,0,0.14,0,0,2.68,2.11,3.52,37.5,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,10,0,0,0,0,0,0,0,0,0,10,10,50,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,0,0,0,0.29,0.88,0,0.88,1.18,2.06,0,0,0,3.53,0.29,2.94,9.1,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,1.25,0,0,3.75,5,0,5.63,1.25,0,0,0,0,6.25,0,3.13,0,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,1.07,0,0,1.79,0,0,0,1.43,1.43,0,0,0,5,3.93,1.07,78.6,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,0.04,0,0,0,0.19,0,0,0,0,0,0,0,0.77,0.08,0.08,50,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,0.5,0,0,1.89,1.05,0,0.17,1.68,1.01,0,0.08,0,6.22,2.02,1.26,61.5,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,0.11,0.04,0,1.44,0.92,0.07,0.37,0.44,1.37,0.04,0.04,0,5.68,0.92,1.4,39.7,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,0,0,0,2.78,0,0,0,1.11,3.89,0,0,0,2.22,3.33,1.67,66.7,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,0.3,0,0,0.91,0.81,0,0,1.21,0.71,0,0,0,2.58,0.91,1.11,45,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,0.25,0,0,1.3,0.95,0.04,0.49,0.67,1.73,0,0,0,5.63,1.13,1.73,39.5,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,0.09,0,0,0,0.05,0,0,0.05,0.09,0,0,0,1.38,0.05,0,100,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,0.85,0,0,2.98,1.17,0.53,3.3,0.64,1.28,0,0,0,4.79,2.45,2.13,53.5,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,0.35,0,0,1.59,0.76,0,0.41,1,1,0,0,0,2.71,1.59,0.94,62.8,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,100,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,0.34,0.11,0,2.02,1.24,0.45,2.7,0.45,0.34,0,0,0,4.49,0.11,0.9,11.1,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,0.12,0,0,1.76,1.65,0,2.12,0.47,2.12,0,0,0,4.47,0.47,0.94,33.3,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,0.36,0,0,0.89,0.89,0,3.66,0.71,1.16,0,0,0,3.13,1.7,1.7,50,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,0.1,0,0,0.66,0.1,0.07,0.17,0.73,0.73,0.03,0.07,0,3.62,1.6,1.29,55.4,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,0.34,0.03,0.03,2.11,2.14,0.07,0.68,1.09,1.5,0,0,0,4.39,2.31,1.36,63,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,0.03,0,0,0,0.07,0,0,0.03,0,0,0,0.03,1.5,0.27,0,100,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,0.24,0,0,0.96,0.12,0.12,0.66,0.54,0.84,0,0.06,0,2.77,0.54,0.6,47.4,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,0.08,0,0,0.56,0.92,0.28,3.67,0.52,0.76,0,0,0,4.34,0.6,0.76,44.1,Matches
