Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,77,66,11,3,0,1,18,1,7,5,1,0,52,0,6,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,54,40,13,1,0,0,0,12,0,0,0,0,37,1,2,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,219,217,2,1,0,3,20,0,0,0,0,0,148,0,13,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,988,926,61,33,1,8,0,8,0,0,0,0,927,1,2,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,877,849,20,3,20,8,15,9,4,0,1,0,661,8,27,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,653,591,56,15,6,10,93,10,24,16,4,0,471,6,24,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,238,215,21,3,0,2,29,10,2,1,1,0,166,2,9,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,343,263,76,9,0,0,12,65,2,2,0,0,245,4,12,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,671,580,91,8,1,3,5,83,0,0,0,0,581,0,4,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,13,13,0,0,0,0,1,0,0,0,0,0,5,0,3,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,1822,1752,62,48,1,18,8,6,0,0,0,0,1562,8,9,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,1287,1082,192,52,22,20,207,24,107,43,42,0,857,13,41,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,407,393,12,11,0,1,0,0,0,0,0,0,330,2,3,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,320,300,19,11,0,0,0,2,0,0,0,0,280,1,1,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,418,397,18,14,0,9,4,2,1,1,0,0,300,3,8,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,126,120,5,0,1,0,2,0,0,0,0,0,84,1,7,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,1484,1287,193,32,3,2,67,161,0,0,0,0,1306,4,28,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,649,471,176,12,0,1,19,164,0,0,0,0,492,2,20,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,364,347,14,2,3,1,25,11,1,0,0,0,287,3,12,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,10,9,1,1,0,0,0,0,0,0,0,0,9,0,0,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,191,141,48,9,2,2,24,30,9,0,5,0,139,2,5,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,4,2,1,0,0,0,0,1,0,0,0,0,3,1,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,114,99,13,2,0,1,37,3,8,0,7,0,74,2,8,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,1352,1292,55,54,3,22,3,1,0,0,0,0,1170,5,11,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,529,506,19,1,1,11,54,11,7,4,0,0,375,4,27,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,1511,1478,30,23,5,11,26,5,0,0,0,0,1299,3,28,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,337,328,9,0,4,1,5,0,0,0,0,0,209,0,8,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,1163,1093,63,50,3,19,1,5,0,0,0,0,945,7,8,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,4,4,0,0,1,0,0,0,0,0,0,0,2,0,0,Matches
