Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,26.7,34,78.5,427.1,118.7,14.1,16.1,87.3,10.3,13.1,78.5,1.88,3.37,55.7,0,0.03,0.04,-0.03,0.61,1.88,0.55,0.11,2.32,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,51.3,57.4,89.3,824.8,190.7,25.6,27.8,92.1,20.2,21.9,92.3,3.74,4.61,81.2,0.05,0.08,0.05,-0.03,1,4.16,0.59,0,4.52,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,45.7,57.9,78.9,697.7,186,24.5,28.1,87.2,18.2,22,82.9,1.83,3.26,56.1,0.17,0.06,0.12,0.11,0.97,2,0.86,0.17,3.43,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,25.7,34.6,74.2,381.8,95.1,14.5,17.4,83.1,7.67,9.57,80.1,1.9,4.09,46.5,0.14,0.19,0.19,-0.05,1.47,1.61,1.36,0.18,3.3,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,50.2,59.7,84.1,1020.8,354.3,14.3,16,89.6,30.7,32.9,93.4,5.05,9.75,51.8,0,0.01,0.02,-0.01,0.2,4.04,0.15,0.1,5.3,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,20.8,26.5,78.3,363.4,108.4,10.5,11.6,91,6.47,7.71,83.9,2.94,4.97,59.2,0.07,0.07,0.07,-0.01,0.85,2.75,0.72,0,3.73,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,20.5,26.7,76.8,318.3,71.7,11.7,12.6,92.5,6.19,7.62,81.3,1.9,3.57,53.3,0.24,0.12,0.12,0.12,1.43,0.95,0.95,0.48,2.86,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,10.5,15.9,65.7,178.6,29.9,5.98,7.8,76.7,3.18,4.92,64.6,1.06,1.36,77.8,0.15,0.06,0.02,0.09,0.68,0.98,0.23,0,1.21,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,6.67,13.3,50,63.3,20,6.67,6.67,100,0,3.33,0,0,0,,0,0,0,0,3.33,0,0,0,0,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,13,19.4,67,181.7,55.8,7.81,9.56,81.7,4.12,5.88,70.1,0.35,1.23,28.6,0.09,0.1,0.1,-0.01,0.61,0.88,0.61,0.26,2.46,Matches
37,Antony,br BRA,FW,Betis,24,2000,15.1,41.2,50.9,81,556.5,146.4,26.5,29.9,88.5,10.3,13.3,77.1,1.92,3.51,54.7,0.13,0.23,0.19,-0.1,2.38,2.25,2.85,0.46,4.44,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,21.5,26.4,81.4,321.3,59.3,11.4,13,87.1,8.27,10,82.7,0.89,1.62,54.8,0,0.06,0.04,-0.06,0.37,0.99,0.16,0.1,1.57,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,24.5,33.5,73.1,512.5,129,5.5,6.5,84.6,17,20.5,82.9,2,6,33.3,0,0,0,0,0,0.5,0,0,1,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,19.8,27,73.3,341.1,83,9.05,11.4,79.8,8.24,10.2,80.8,1.96,3.95,49.6,0,0.02,0.02,-0.02,0.57,2.5,0.14,0.03,2.53,Matches
