Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,0.76,0.45,0.23,0.38,0.15,0.38,0.98,38.5,0.61,1.36,0.15,1.21,0.23,0.98,0.76,0,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,1.84,0.88,0.79,0.7,0.35,0.79,1.84,42.9,1.05,1.23,0.18,1.05,0.7,2.54,0.96,0.09,Matches
37,Antony,br BRA,FW,Betis,24,2000,15.1,1.66,0.73,0.4,0.6,0.66,0.53,1.46,36.4,0.93,0.79,0.07,0.73,0.66,2.32,0.6,0.07,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,1.99,1.41,1.1,0.63,0.26,0.79,1.47,53.6,0.68,1.26,0.42,0.84,0.94,2.93,1.36,0.05,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,0.5,0.5,0.5,0,0,0.5,0.5,100,0,1,1,0,1.5,2,4,0,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,1.62,0.98,0.34,1.11,0.17,0.74,1.62,45.8,0.88,1.18,0.2,0.98,0.51,2.13,1.55,0,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,3.74,2.56,2.23,1.1,0.4,2.42,3.66,66,1.25,1.47,0.29,1.17,1.1,4.84,3.59,0,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,1.43,1.07,0.71,0.6,0.12,0.48,0.6,80,0.12,0.71,0.48,0.24,1.07,2.5,2.98,0,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,1.55,1.11,0.91,0.41,0.23,1.14,1.64,69.6,0.5,0.76,0.12,0.64,0.23,1.78,2.69,0,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,,0,20,0,20,0,0,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,4.67,3.33,2,2,0.67,2.67,4.67,57.1,2,1.33,0,1.33,3.33,8,0.67,0,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,7,4,4,3,0,6,7,85.7,1,2,2,0,3,10,4,0,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,1.11,0.77,0.43,0.6,0.09,0.51,0.94,54.5,0.43,0.6,0,0.6,0.51,1.62,0.77,0,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,1.18,0.86,0.97,0.22,0,0.54,0.7,76.9,0.16,0.59,0.32,0.27,0.86,2.04,4.73,0.11,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,0.67,0.41,0.21,0.26,0.21,0.41,1.03,40,0.62,0.93,0.05,0.88,0.41,1.08,0.26,0,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,1.41,0.77,0.38,0.51,0.51,0.51,1.47,34.8,0.96,0.9,0,0.9,0.45,1.86,0.45,0.06,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,1.07,0.4,0.27,0.27,0.53,0.53,1.33,40,0.8,0.53,0,0.53,0.27,1.33,1.07,0,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,2.89,2.16,2.06,0.82,0,2.16,4.43,48.8,2.27,2.47,0.82,1.65,1.03,3.92,3.09,0,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,2.58,1.44,1.24,0.93,0.41,1.75,2.37,73.9,0.62,1.03,0.21,0.82,0.52,3.09,3.3,0,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,2,2,2,0,0,0,0,,0,2,0,2,0,2,2,0,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,1.58,0.91,1.24,0.34,0,0.77,1.04,74.2,0.27,0.74,0.44,0.3,0.97,2.55,5.44,0.07,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,0.97,0.52,0.21,0.49,0.28,0.35,1.35,25.6,1.01,1.01,0.07,0.94,0.76,1.74,0.76,0.07,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,1.04,0.73,0.73,0.31,0,0.31,0.52,60,0.21,1.56,0.83,0.73,1.25,2.29,6.25,0,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,1.74,0.58,0.87,0.87,0,0.43,0.58,75,0.14,1.74,0.87,0.87,0.87,2.61,4.2,0,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,2.69,1.3,1.2,1.2,0.28,1.11,2.59,42.9,1.48,2.31,0.37,1.94,1.39,4.07,2.41,0.09,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,0.76,0.51,0,0.63,0.13,0.38,0.89,42.9,0.51,1.65,0.25,1.39,0,0.76,0.63,0,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,0.71,0.39,0.39,0.2,0.12,0.43,0.67,64.7,0.24,0.94,0.2,0.75,0.2,0.91,1.06,0,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,1.28,1.05,0.6,0.38,0.3,0.45,1.35,33.3,0.9,1.2,0.3,0.9,0.98,2.26,2.93,0,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,1.33,0.78,0.44,0.67,0.22,0.56,1.33,41.7,0.78,0.67,0,0.67,0.56,1.89,0.67,0,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,2,2,0,2,0,0,0,,0,0,0,0,0,2,2,0,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,4.69,2.81,2.5,0.94,1.25,3.75,4.69,80,0.94,0,0,0,0.63,5.31,1.56,0,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,1.43,1.14,0.29,0.86,0.29,0.57,1.14,50,0.57,1.43,0,1.43,0.86,2.29,1.14,0,Matches
