Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,9,0,0,31,20,8,169,8,38,0,0,0,118,27,19,58.7,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,0,0,0,0,5,4,18,5,5,0,0,0,16,1,3,25,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,0,0,0,0,0,0,0,3,4,0,0,0,3,1,0,100,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,0,0,0,5,15,6,20,6,9,0,0,0,42,5,26,16.1,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,3,0,0,12,19,1,0,16,16,0,0,0,75,30,15,66.7,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,6,1,1,16,34,5,15,8,8,1,0,0,55,7,8,46.7,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,2,0,0,12,23,1,93,7,12,0,1,0,62,4,3,57.1,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,5,1,0,13,18,5,29,2,3,0,0,0,28,6,8,42.9,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,1,0,0,14,17,0,12,10,21,0,0,0,56,11,4,73.3,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,1,0,0,8,6,3,5,5,14,0,0,0,28,14,14,50,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,0,0,0,1,4,0,1,0,1,0,0,0,1,0,0,,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,7,1,0,26,10,0,8,29,27,0,1,0,138,65,30,68.4,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,9,0,0,43,47,5,207,22,15,0,0,0,140,16,19,45.7,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,1,0,0,6,6,0,0,12,7,0,0,0,35,31,13,70.5,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,2,1,0,7,1,0,0,6,4,0,1,0,19,11,7,61.1,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,4,0,0,21,14,0,4,15,14,0,1,0,61,17,13,56.7,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,4,0,0,23,7,12,2,0,4,1,0,0,25,12,26,31.6,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,2,0,0,16,37,0,67,5,10,0,0,0,122,16,9,64,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,3,0,0,19,15,1,19,13,14,0,0,0,39,14,26,35,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,1,0,0,7,17,4,25,5,7,0,0,0,52,5,10,33.3,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,100,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,0,0,0,7,5,0,24,2,9,0,0,0,16,0,2,0,Matches
