Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,1.31,1.31,0.89,0.05,0.1,0,0.26,0,0.21,0.21,0.05,0,0.1,0,0.05,0,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,0.5,0.51,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,1.82,1.83,1.15,0,0.1,0.2,0.3,0.07,0.1,0.1,0.03,0,0,0.07,0,0,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,1.21,1.21,0.95,0.11,0.04,0,0.04,0.07,0.07,0.07,0.07,0,0,0,0,0,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,1.43,1.43,1.31,0,0,0.12,0,0,0.24,0.24,0.12,0,0,0.12,0,0,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,5,4.74,5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,2.13,2.13,1.61,0.35,0.06,0.03,0.09,0,0.26,0.26,0.2,0.06,0,0,0,0,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,6,6.04,4,0.67,0,0.67,0.67,0,0,0,0,0,0,0,0,0,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,1.88,1.88,1.37,0,0.17,0.17,0.17,0,0.17,0.17,0.17,0,0,0,0,0,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,0.65,0.65,0.59,0,0.05,0,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,3.81,3.82,3.4,0.05,0.1,0.15,0.1,0,0.67,0.67,0.57,0,0,0.05,0.05,0,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,3.91,3.91,2.88,0.45,0.45,0.06,0.06,0,0.45,0.45,0.32,0.13,0,0,0,0,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,4.13,4.12,3.2,0,0.13,0.27,0.53,0,0.4,0.4,0.4,0,0,0,0,0,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,1.65,1.64,1.13,0.31,0.21,0,0,0,0,0,0,0,0,0,0,0,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,0.82,0.82,0.52,0.21,0,0,0,0.1,0.1,0.1,0.1,0,0,0,0,0,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,4,3.75,2,0,2,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,0.77,0.77,0.67,0,0.03,0.07,0,0,0.07,0.07,0.07,0,0,0,0,0,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,5.87,5.86,3.75,1.42,0.14,0.38,0.14,0.03,0.73,0.73,0.59,0.07,0.03,0,0.03,0,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,0.21,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,0.29,0.29,0.14,0,0,0.14,0,0,0,0,0,0,0,0,0,0,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,1.3,1.3,0.93,0,0,0.19,0.19,0,0.09,0.09,0,0,0,0.09,0,0,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,1.39,1.39,1.14,0,0,0.13,0.13,0,0.38,0.38,0.25,0,0,0,0.13,0,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,2.99,2.99,2.36,0.12,0.12,0.12,0.28,0,0.47,0.47,0.39,0,0,0,0.08,0,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,1.43,1.43,1.05,0.23,0,0.08,0.08,0,0.08,0.08,0.08,0,0,0,0,0,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,3.11,3.11,2.67,0,0.22,0.22,0,0,0.44,0.44,0.44,0,0,0,0,0,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,2,1.87,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,3.13,3.12,1.56,1.25,0,0.31,0,0,0,0,0,0,0,0,0,0,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,5.14,5.14,2.57,1.14,0.86,0,0.57,0,0.57,0.57,0.29,0,0,0,0.29,0,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,1.81,1.81,1.44,0.04,0,0.04,0.12,0.16,0.33,0.33,0.21,0.04,0,0,0.04,0.04,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,3,2.99,2.21,0.07,0.14,0.36,0.07,0.14,0.43,0.43,0.29,0,0,0.14,0,0,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,2.55,2.55,2.24,0.04,0.04,0.12,0.04,0.08,0.42,0.43,0.42,0,0,0,0,0,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,1.78,1.78,1.24,0,0.12,0.23,0.12,0.08,0.23,0.23,0.19,0,0.04,0,0,0,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,0.56,0.56,0.43,0,0.04,0.09,0,0,0.13,0.13,0.04,0,0,0.09,0,0,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,0.22,0.22,0.19,0.03,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,0.5,0.49,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,1.89,1.9,1.53,0,0.18,0.09,0.09,0,0.09,0.09,0.09,0,0,0,0,0,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,1.77,1.77,1.71,0,0,0.06,0,0,0.13,0.13,0.13,0,0,0,0,0,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,1.25,1.3,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,1.88,1.86,1.72,0,0.16,0,0,0,0.31,0.31,0.31,0,0,0,0,0,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,3.8,3.8,3.08,0.04,0.18,0.29,0.11,0.11,0.47,0.47,0.4,0,0,0.04,0.04,0,Matches
