Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,0,21,4,19,0.96,0.18,0,0,21.2,0,0,0,1.7,1.6,0.08,-1.7,-1.6,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,4,25,9,36,1.43,0.52,0.16,0.44,16.2,1,0,0,2.5,2.5,0.1,1.5,1.5,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,17,70,36,51.4,2.51,1.29,0.19,0.36,18.3,5,4,4,14.1,11,0.16,2.9,2,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,1,9,2,22.2,0.45,0.1,0.11,0.5,15.5,0,0,0,0.5,0.5,0.05,0.5,0.5,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,3,21,7,33.3,1.37,0.46,0.1,0.29,22.9,1,1,1,3.5,2.7,0.13,-0.5,-0.7,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,0,5,1,20,1.2,0.24,0,0,13.7,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,1,22,2,9.1,1.67,0.15,0.05,0.5,14,0,0,0,2.7,2.7,0.12,-1.7,-1.7,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,0,1,1,100,3.21,3.21,0,0,26.9,0,0,0,0.1,0.1,0.14,-0.1,-0.1,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,0,10,4,40,0.88,0.35,0,0,19.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
37,Antony,br BRA,FW,Betis,24,2000,15.1,5,43,17,39.5,2.84,1.12,0.12,0.29,19.9,1,0,0,2.9,2.9,0.07,2.1,2.1,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,19.1,2,11,5,45.5,0.58,0.26,0.18,0.4,12.8,0,0,0,1.7,1.7,0.15,0.3,0.3,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,0,1,0,0,0.51,0,0,,15.7,0,0,0,0,0,0.02,0,0,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,29.6,10,53,16,30.2,1.79,0.54,0.13,0.44,18.2,1,3,3,8.2,5.8,0.11,1.8,1.2,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,27.3,1,11,3,27.3,0.4,0.11,0.09,0.33,20.8,0,0,0,0.4,0.4,0.04,0.6,0.6,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,8.4,1,4,2,50,0.48,0.24,0.25,0.5,11.8,0,0,0,1,1,0.24,0,0,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,0,8,0,0,0.23,0,0,,21.4,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,0,6,3,50,4.06,2.03,0,0,23.1,2,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,2,28,8,28.6,2.39,0.68,0.07,0.25,13.6,0,0,0,2.7,2.7,0.1,-0.7,-0.7,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,0,3,1,33.3,0.16,0.05,0,0,21.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,10,46,18,39.1,2.37,0.93,0.11,0.28,21.3,3,5,6,8.7,4,0.09,1.3,1,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,3,38,11,28.9,2.43,0.7,0.08,0.27,22.9,2,0,0,2.1,2.1,0.05,0.9,0.9,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,2,20,10,50,2.66,1.33,0.1,0.2,17.9,0,0,0,1.5,1.5,0.08,0.5,0.5,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,0,4,1,25,0.41,0.1,0,0,17.7,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,1,5,2,40,0.51,0.21,0.2,0.5,17.8,0,0,0,0.2,0.2,0.05,0.8,0.8,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,0,1,0,0,1.87,0,0,,9.8,0,0,0,0,0,0.03,0,0,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,1,13,4,30.8,0.44,0.13,0.08,0.25,15,0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,7,69,17,24.6,2.39,0.59,0.1,0.41,21,8,0,1,7.1,6.3,0.09,-0.1,0.7,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,0,3,1,33.3,0.31,0.1,0,0,9.1,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,0,4,0,0,0.58,0,0,,7.8,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,1,5,2,40,0.46,0.19,0.2,0.5,23.1,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,2,24,11,45.8,3.04,1.39,0.08,0.18,13.7,0,0,0,3.2,3.2,0.13,-1.2,-1.2,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,0,12,3,25,0.47,0.12,0,0,22,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,0,1,0,0,0.07,0,0,,30.9,0,0,0,0,0,0.01,0,0,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,0,13,6,46.2,1.44,0.67,0,0,18.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,0,3,0,0,5.51,0,0,,11,0,0,0,0.4,0.4,0.13,-0.4,-0.4,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,0,7,0,0,2.19,0,0,,27.8,2,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,0,4,1,25,1.14,0.29,0,0,18.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,1,16,3,18.8,0.66,0.12,0.06,0.33,18.5,0,0,0,1.3,1.3,0.08,-0.3,-0.3,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,1,25,8,32,1.78,0.57,0.04,0.13,16.2,0,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,1,29,8,27.6,1.12,0.31,0.03,0.13,23.1,0,0,0,1.3,1.3,0.05,-0.3,-0.3,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,11,71,24,33.8,2.75,0.93,0.14,0.42,12,0,1,1,12.5,11.7,0.17,-1.5,-1.7,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,2,18,5,27.8,0.77,0.21,0.11,0.4,20.8,1,0,0,1.2,1.2,0.07,0.8,0.8,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,0,3,0,0,1.48,0,0,,23.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,2,22,13,59.1,1.99,1.18,0.09,0.15,19.1,0,0,0,2,2,0.09,0,0,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,2,18,5,27.8,1.14,0.32,0.11,0.4,14.7,0,0,0,1.5,1.5,0.08,0.5,0.5,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,0,1,1,100,0.16,0.16,0,0,14.6,0,0,0,0.2,0.2,0.2,-0.2,-0.2,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,9,60,22,36.7,2.17,0.8,0.13,0.36,15.6,0,1,2,11.4,9.9,0.17,-2.4,-1.9,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,2,23,4,17.4,0.86,0.15,0.09,0.5,23.1,0,0,0,1,1,0.04,1,1,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,1,5,2,40,0.92,0.37,0.2,0.5,21.4,0,0,0,0.3,0.3,0.05,0.7,0.7,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,0,16,4,25,0.7,0.18,0,0,25.2,2,0,0,0.6,0.6,0.04,-0.6,-0.6,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,6,51,18,35.3,1.96,0.69,0.12,0.33,18.4,3,0,1,6.8,6,0.12,-0.8,0,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,0,2,1,50,0.74,0.37,0,0,26,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,0,2,1,50,0.85,0.42,0,0,17.6,0,0,0,0.3,0.3,0.14,-0.3,-0.3,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,0,4,0,0,0.52,0,0,,22.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,0,4,0,0,0.34,0,0,,11,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,0,25,3,12,0.83,0.1,0,0,27.1,0,0,0,0.8,0.8,0.03,-0.8,-0.8,Matches
93,Daley Blind,nl NED,DF,Girona,34,1990,30.9,0,10,4,40,0.32,0.13,0,0,19,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
94,Adama Boiro,es ESP,"DF,FW",Athletic Club,22,2002,12.2,0,5,0,0,0.41,0,0,,14.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
95,Enzo Boyomo,cm CMR,DF,Osasuna,22,2001,33.2,2,12,3,25,0.36,0.09,0.17,0.67,12.4,0,0,0,1.5,1.5,0.12,0.5,0.5,Matches
96,Enzo Boyomo,cm CMR,DF,Valladolid,22,2001,3,0,2,0,0,0.67,0,0,,11.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
97,Darko Brašanac,rs SRB,MF,Leganés,32,1992,18,1,12,3,25,0.67,0.17,0.08,0.33,13.1,0,0,0,1.8,1.8,0.15,-0.8,-0.8,Matches
98,Tajon Buchanan,ca CAN,MF,Villarreal,25,1999,4.6,1,7,2,28.6,1.51,0.43,0.14,0.5,18.6,0,0,0,0.9,0.9,0.13,0.1,0.1,Matches
99,Ante Budimir,hr CRO,FW,Osasuna,33,1991,32.8,21,91,29,31.9,2.77,0.88,0.14,0.45,13.3,0,8,8,18.3,12.3,0.14,2.7,0.7,Matches
100,Manu Bueno,es ESP,"MF,FW",Sevilla,20,2004,1.6,1,4,1,25,2.57,0.64,0.25,1,26.8,0,0,0,0.1,0.1,0.03,0.9,0.9,Matches
101,Endika Buján,es ESP,FW,Athletic Club,21,2003,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
102,Pau Cabanes,es ESP,"MF,FW",Villarreal,19,2005,1.8,1,4,2,50,2.21,1.1,0.25,0.5,14.2,0,0,0,0.5,0.5,0.12,0.5,0.5,Matches
103,Pau Cabanes,es ESP,"MF,FW",Alavés,19,2005,2.1,0,2,1,50,0.96,0.48,0,0,26.6,0,0,0,0,0,0.02,0,0,Matches
104,Leandro Cabrera,uy URU,DF,Espanyol,33,1991,31.9,4,19,6,31.6,0.6,0.19,0.21,0.67,12.2,0,0,0,1.1,1.1,0.06,2.9,2.9,Matches
105,Fernando Calero,es ESP,"DF,MF",Espanyol,28,1995,7.9,1,2,1,50,0.25,0.13,0.5,1,9.1,0,0,0,0.3,0.3,0.14,0.7,0.7,Matches
106,Eduardo Camavinga,fr FRA,"MF,DF",Real Madrid,21,2002,12.2,1,8,2,25,0.65,0.16,0.13,0.5,18.5,0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
107,Sergio Camello,es ESP,FW,Rayo Vallecano,23,2001,12.6,3,32,9,28.1,2.54,0.71,0.09,0.33,16.3,0,0,0,4.1,4.1,0.13,-1.1,-1.1,Matches
108,José Campaña,es ESP,MF,Las Palmas,31,1993,13.2,0,5,3,60,0.38,0.23,0,0,37,2,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
109,Peio Canales,es ESP,"MF,FW",Athletic Club,19,2005,2.9,0,3,0,0,1.04,0,0,,21.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
110,Antonio Candela,it ITA,DF,Valladolid,24,2000,10.1,0,1,0,0,0.1,0,0,,16.5,0,0,0,0,0,0.04,0,0,Matches
111,Sergi Canós,es ESP,"MF,FW",Valencia,27,1997,4.1,0,11,3,27.3,2.68,0.73,0,0,19.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
112,Dani Cárdenas,es ESP,GK,Rayo Vallecano,27,1997,6,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
113,Irvin Cardona,fr FRA,"FW,MF",Espanyol,26,1997,6.7,1,10,3,30,1.49,0.45,0.1,0.33,17.3,1,0,0,1.1,1.1,0.11,-0.1,-0.1,Matches
114,Marc Cardona,es ESP,"FW,DF",Las Palmas,29,1995,1.5,0,4,0,0,2.73,0,0,,15,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
115,Sergi Cardona,es ESP,DF,Villarreal,25,1999,32.7,1,20,6,30,0.61,0.18,0.05,0.17,13.7,0,0,0,2.4,2.4,0.12,-1.4,-1.4,Matches
116,Johnny Cardoso,us USA,MF,Betis,22,2001,23.8,3,19,7,36.8,0.8,0.29,0.16,0.43,14.9,0,0,0,2,2,0.11,1,1,Matches
117,José Carlos González,es ESP,DF,Las Palmas,18,2006,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
118,Carmona,es ESP,DF,Sevilla,22,2002,32.7,0,19,4,21.1,0.58,0.12,0,0,24.7,0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
119,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,23,2000,18.4,0,13,3,23.1,0.71,0.16,0,0,15.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
120,Dani Carvajal,es ESP,DF,Real Madrid,32,1992,6.8,1,3,1,33.3,0.44,0.15,0.33,1,3.4,0,0,0,1.3,1.3,0.44,-0.3,-0.3,Matches
121,William Carvalho,pt POR,MF,Betis,32,1992,5.4,0,4,1,25,0.74,0.19,0,0,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
122,Marc Casado,es ESP,MF,Barcelona,20,2003,17.9,1,14,1,7.1,0.78,0.06,0.07,1,22.4,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
123,Catena,es ESP,DF,Osasuna,29,1994,34.2,1,20,5,25,0.59,0.15,0.05,0.2,10.9,0,0,0,2.2,2.2,0.11,-1.2,-1.2,Matches
124,Maximiliano Caufriez,be BEL,DF,Valencia,27,1997,1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
125,Dani Ceballos,es ESP,MF,Real Madrid,27,1996,13.5,0,7,2,28.6,0.52,0.15,0,0,22.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
126,Franco Cervi,ar ARG,"FW,MF",Celta Vigo,30,1994,3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
127,Raúl Chasco,es ESP,DF,Valladolid,20,2003,1.4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
128,Pep Chavarría,es ESP,"DF,FW",Rayo Vallecano,26,1998,28.7,0,11,3,27.3,0.38,0.1,0,0,20.1,0,0,0,1.2,1.2,0.11,-1.2,-1.2,Matches
129,Walid Cheddira,ma MAR,FW,Espanyol,26,1998,7.1,1,13,4,30.8,1.83,0.56,0.08,0.25,12.7,0,0,0,1,1,0.08,0,0,Matches
130,Chema,es ESP,MF,Real Madrid,19,2005,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
131,Julián Chicco,ar ARG,"MF,DF",Leganés,26,1998,3.4,0,3,1,33.3,0.89,0.3,0,0,19.7,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
132,Chiquinho,pt POR,"MF,FW",Mallorca,24,2000,1.6,0,4,2,50,2.47,1.23,0,0,15.4,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
133,Andreas Christensen,dk DEN,DF,Barcelona,28,1996,2.8,0,1,0,0,0.35,0,0,,12.3,0,0,0,0,0,0.02,0,0,Matches
134,Jasper Cillessen,nl NED,GK,Las Palmas,35,1989,25.9,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
135,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,30,1994,23.8,4,21,6,28.6,0.88,0.25,0.19,0.67,15.2,0,0,0,1.8,1.7,0.09,2.2,2.3,Matches
136,Seydouba Cissé,gn GUI,MF,Leganés,23,2001,27.1,3,24,5,20.8,0.89,0.18,0.13,0.6,20,0,0,0,3,3,0.13,0,0,Matches
137,Silvi Clúa,es ESP,MF,Girona,19,2005,1.8,0,2,1,50,1.1,0.55,0,0,33.3,0,0,0,0,0,0.02,0,0,Matches
138,Eray Cömert,ch SUI,"DF,MF",Valladolid,26,1998,19.8,0,9,1,11.1,0.46,0.05,0,0,21.4,1,0,0,0.9,0.9,0.1,-0.9,-0.9,Matches
139,Santi Comesaña,es ESP,MF,Villarreal,27,1996,28.4,4,39,8,20.5,1.37,0.28,0.1,0.5,13.1,0,0,0,4.6,4.6,0.12,-0.6,-0.6,Matches
140,Diego Conde,es ESP,GK,Villarreal,25,1998,21.8,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
141,Tomás Conechny,ar ARG,"FW,MF",Alavés,26,1998,9.4,1,22,10,45.5,2.34,1.06,0.05,0.1,18.3,2,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches
142,Copete,es ESP,DF,Mallorca,24,1999,17,0,6,2,33.3,0.35,0.12,0,0,9.9,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches
143,Iker Córdoba,es ESP,DF,Valencia,18,2005,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
144,Ángel Correa,ar ARG,"FW,MF",Atlético Madrid,29,1995,8.9,4,34,14,41.2,3.8,1.57,0.12,0.29,13.9,0,0,0,4.5,4.5,0.13,-0.5,-0.5,Matches
145,Thierry Correia,pt POR,DF,Valencia,25,1999,8.5,0,7,3,42.9,0.82,0.35,0,0,19,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
146,Coba da Costa,es ESP,"MF,FW",Getafe,22,2002,11.2,1,23,8,34.8,2.06,0.72,0.04,0.13,18.3,0,0,0,1.1,1.1,0.05,-0.1,-0.1,Matches
147,Logan Costa,cv CPV,DF,Villarreal,23,2001,28.7,2,12,5,41.7,0.42,0.17,0.17,0.4,15.9,0,0,0,0.7,0.7,0.05,1.3,1.3,Matches
148,Samu Costa,pt POR,MF,Mallorca,23,2000,29.4,0,30,8,26.7,1.02,0.27,0,0,18.3,1,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches
149,Thibaut Courtois,be BEL,GK,Real Madrid,32,1992,30,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
150,Juan Cruz Armada,es ESP,DF,Osasuna,32,1992,16.6,0,4,0,0,0.24,0,0,,16.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
151,Juan Cruz,es ESP,"FW,MF",Leganés,24,2000,25.1,5,33,14,42.4,1.32,0.56,0.15,0.36,21,1,0,0,2.7,2.7,0.08,2.3,2.3,Matches
152,Pau Cubarsí,es ESP,DF,Barcelona,17,2007,29.1,0,8,0,0,0.28,0,0,,8.9,0,0,0,0.8,0.8,0.1,-0.8,-0.8,Matches
153,Cucho,co COL,FW,Betis,25,1999,12.7,5,43,11,25.6,3.4,0.87,0.12,0.45,15.9,0,0,0,3.8,3.8,0.09,1.2,1.2,Matches
154,Arnaut Danjuma,nl NED,FW,Villarreal,27,1997,2.2,2,6,3,50,2.7,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,1.2,1.2,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Girona,27,1997,14.8,2,30,14,46.7,2.02,0.94,0.07,0.14,16,1,0,0,3.6,3.6,0.12,-1.6,-1.6,Matches
156,Sergi Darder,es ESP,"MF,FW",Mallorca,30,1993,30.5,2,36,9,25,1.18,0.3,0.06,0.22,24.2,1,0,0,2.1,2.1,0.06,-0.1,-0.1,Matches
157,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,30,1994,23.4,3,19,4,21.1,0.81,0.17,0.16,0.75,24.3,0,0,0,1.3,1.3,0.07,1.7,1.7,Matches
