Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
469,Luis Milla,es ESP,MF,Getafe,29,1994,33,"2,875",87,84.1,31.9,1,89,0.88,0.03,35,0,1.06,0.78,1.07,-0.28,-0.28,-0.94,0.97,1.22,-0.25,-0.25,0.01,Matches
470,Pere Milla,es ESP,"MF,FW",Espanyol,31,1992,20,456,23,13.3,5.1,0.2,56,0,3.73,21,3.33,1.1,1.18,1.37,-0.2,-0.2,0.11,1.1,1.18,-0.1,-0.09,0.48,Matches
471,Óscar Mingueza,es ESP,"MF,DF",Celta Vigo,25,1999,34,"2,729",80,79.8,30.3,1.02,83,0.66,0.1,48,0,1.56,1.65,1.55,0.1,0.1,0.23,1.54,1.17,0.37,0.37,0.41,Matches
472,Kim Minsu,kr KOR,"MF,FW",Girona,18,2006,3,22,7,0.6,0.2,0,,0,15,7,10,1,0,0,0,0,0.42,1.5,0,1,0.96,1.17,Matches
473,Bojan Miovski,mk MKD,FW,Girona,25,1999,17,869,51,25.4,9.7,1.24,67,0.1,0.52,14,1.34,1.12,1.13,1.86,-0.72,-0.72,-0.41,0.91,1.2,-0.29,-0.29,-0.11,Matches
474,Rafa Mir,es ESP,"FW,MF",Valencia,27,1997,20,753,38,22,8.4,0.6,74,0,1.79,25,0.36,1.1,1.19,1.07,0.12,0.12,0.49,1.18,1.44,-0.27,-0.27,-0.06,Matches
475,Luka Modrić,hr CRO,MF,Real Madrid,38,1985,35,"1,827",52,53.4,20.3,0.84,84,0.39,0.89,22,0.1,2.14,2.07,1.03,1.03,1.03,-0.04,2.1,1.16,0.94,0.94,0.18,Matches
476,Johan Mojica,co COL,DF,Mallorca,31,1992,36,"2,755",77,80.6,30.6,0.98,88,0.85,0.2,18,0.03,1.31,0.98,1.24,-0.26,-0.26,-0.13,1.05,1.23,-0.19,-0.19,0.14,Matches
477,Horaţiu Moldovan,ro ROU,GK,Atlético Madrid,26,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
478,Alberto Moleiro,es ESP,"FW,MF",Las Palmas,20,2003,35,"2,714",78,79.4,30.2,1.06,81,0.53,0.1,40,0.03,0.83,1.16,1.59,-0.43,-0.43,0.59,1.03,1.67,-0.64,-0.64,0.77,Matches
479,Nahuel Molina,ar ARG,DF,Atlético Madrid,26,1998,30,"1,590",53,46.5,17.7,0.96,74,0.51,0.73,26,0.34,1.9,1.07,0.62,0.45,0.45,-1.02,1.29,1.01,0.28,0.28,-1.01,Matches
480,Jon Moncayola,es ESP,MF,Osasuna,26,1998,32,"2,099",66,61.4,23.3,1.12,74,0.26,0.26,28,0.04,1.34,1.37,1.24,0.13,0.13,0.61,1.12,1.4,-0.28,-0.28,-0.07,Matches
