Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,#ERROR!,#ERROR!,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
570,Portu,es ESP,"FW,MF",Girona,32,1992,27,779,29,22.8,8.7,0.69,70,0,2.41,17,0.34,0.93,1.15,1.15,0,0,0.55,1.25,1.23,0.02,0.03,0.3,Matches
571,Beñat Prados,es ESP,MF,Athletic Club,23,2001,30,"1,715",57,50.1,19.1,1.1,71,0.26,0.47,25,0.26,1.8,1.15,0.73,0.42,0.42,-0.48,1.28,1.03,0.25,0.25,-0.3,Matches
572,Abdón Prats,es ESP,"FW,MF",Mallorca,31,1992,24,456,19,13.3,5.1,0.59,72,0.2,4.12,11,1.57,1.38,1.37,1.18,0.2,0.2,0.5,1.51,1.35,0.16,0.16,0.43,Matches
573,Javi Puado,es ESP,"FW,MF",Espanyol,26,1998,35,"2,974",85,87,33,1.06,85,0.61,0,,0,1.03,0.91,1.27,-0.36,-0.36,-0.56,0.9,1.42,-0.52,-0.52,-0.11,Matches
574,Víctor Puig,es ESP,GK,Las Palmas,24,1999,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
575,Dani Raba,es ESP,"FW,MF",Leganés,28,1995,29,"1,879",65,54.9,20.9,1.15,74,0.29,0.24,20,0.24,1.14,1.2,1.29,-0.1,-0.1,0.78,1.06,1.54,-0.48,-0.48,0.29,Matches
576,Rafa,es ESP,GK,Sevilla,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
577,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,90,90,2.6,1,1,90,1,0,,9,0,1,2,-1,-1,0.7,0.7,0.7,0,0.03,0.92,Matches
578,Antonio Raillo,es ESP,DF,Mallorca,32,1991,36,"3,207",89,93.8,35.6,1.01,89,0.96,0,,0,1.25,0.87,1.07,-0.2,-0.2,0.65,1.02,1.23,-0.21,-0.21,0.01,Matches
579,Benito Ramírez,es ESP,"DF,FW",Las Palmas,29,1995,19,478,25,14,5.3,0.38,61,0,3.21,21,1.89,0.84,1.32,1.51,-0.19,-0.19,0.42,1.21,1.98,-0.79,-0.79,0.01,Matches
580,Sandro Ramírez,es ESP,"FW,MF",Las Palmas,29,1995,31,"2,034",66,59.5,22.6,1.11,75,0.27,0.27,28,0.04,0.94,1.15,1.46,-0.31,-0.31,0.6,0.96,1.76,-0.8,-0.8,0.01,Matches
581,Jacobo Ramón,es ESP,DF,Real Madrid,19,2005,3,204,68,6,2.3,0.87,90,0.87,0.43,24,5.65,3,1.74,1.3,0.43,0.44,-0.65,2.22,1.09,1.17,1.18,0.34,Matches
582,Pablo Ramon,es ESP,DF,Espanyol,23,2001,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
583,Raphinha,br BRA,"FW,MF",Barcelona,27,1996,36,"2,839",79,83,31.5,1.02,84,0.73,0.13,35,0.03,2.28,2.7,0.98,1.71,1.71,0.32,2.39,1.15,1.24,1.24,-0.36,Matches
584,Andrei Ratiu,ro ROU,DF,Rayo Vallecano,26,1998,35,"3,065",88,89.6,34.1,1,89,0.91,0.03,34,0.03,1.37,1.09,1.2,-0.12,-0.12,-0.12,1.23,1.3,-0.06,-0.06,0.3,Matches
585,Raúl,es ESP,"FW,MF",Osasuna,23,2000,32,750,23,21.9,8.3,0.6,66,0,3.25,16,0.24,1.25,1.08,1.57,-0.48,-0.48,-0.48,1.17,1.92,-0.75,-0.74,-0.62,Matches
586,Abderrahman Rebbach,dz ALG,"FW,MF",Alavés,25,1998,8,385,48,11.3,4.3,0.93,75,0.23,0.93,22,2.33,1.25,1.4,1.63,-0.23,-0.23,0.03,1,1.33,-0.33,-0.32,-0.23,Matches
587,Alejandro Rego,es ESP,MF,Athletic Club,21,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
588,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,"3,240",90,94.7,36,1,90,1,0,,0.06,1.28,0.97,1.19,-0.22,-0.22,1.28,1.14,1.13,0.01,0.01,0.84,Matches
589,Daniel Requena,es ESP,MF,Villarreal,20,2004,1,10,10,0.3,0.1,0,,0,10,10,10,3,0,10,-10,-9,-9.55,0,1,-1,-0.7,-1.24,Matches
590,Diego Rico,es ESP,DF,Getafe,31,1993,33,"2,819",85,82.4,31.3,1.02,88,0.96,0.03,4,0.03,1.18,1.02,0.96,0.06,0.06,1.11,1,1.17,-0.17,-0.17,0.45,Matches
591,Luis Rioja,es ESP,FW,Alavés,30,1993,1,23,23,0.7,0.3,0,,0,3.33,23,0,0,0,3.33,-3.33,-3.91,-3.67,4,1.33,2.67,3.08,3.21,Matches
592,Luis Rioja,es ESP,"MF,FW",Valencia,30,1993,36,"2,831",79,82.8,31.5,1.05,83,0.48,0.1,29,0,1.19,1.17,1.3,-0.13,-0.13,0.79,1.12,1.2,-0.09,-0.09,0.82,Matches
593,Rodrigo Riquelme,es ESP,"MF,DF",Atlético Madrid,24,2000,16,516,32,15.1,5.7,0.7,72,0.18,2.11,19,3.33,2.13,2.28,0.88,1.4,1.4,0.47,2.14,0.67,1.46,1.45,0.74,Matches
594,Alberto Risco,es ESP,"MF,FW",Getafe,18,2005,5,69,14,2,0.8,0,,0,6.25,14,7.5,0.6,2.5,0,2.5,2.61,2.8,2,0.87,1.13,1.13,1.41,Matches
595,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,28,1995,10,429,43,12.5,4.8,1.25,64,0,0.83,11,3.54,1.8,1.46,1.04,0.42,0.42,0.42,1.29,1.04,0.25,0.26,-0.03,Matches
596,Mario Rivas,es ESP,DF,Real Madrid,17,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
597,Gorka Rivera Alonso,es ESP,"DF,MF",Getafe,19,2004,1,20,20,0.6,0.2,0,,0,5,20,5,0,0,0,0,0,0.13,1,2.5,-1.5,-1.35,-1.11,Matches
598,Joel Roca,es ESP,FW,Girona,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
599,Marc Roca,es ESP,MF,Betis,27,1996,14,906,65,26.5,10.1,1.09,76,0.5,0.3,25,0.1,1.36,1.19,0.99,0.2,0.2,0.02,1.5,1.04,0.47,0.47,0.49,Matches
600,Rodri,es ESP,FW,Betis,24,2000,3,118,39,3.5,1.3,0.77,71,0,1.54,24,0,0.67,0,1.54,-1.54,-1.53,-1.77,1.08,2,-1,-0.97,-1.11,Matches
601,Adrián Rodriguez,es ESP,DF,Valladolid,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
602,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,2,122,61,3.6,1.4,0.71,90,0.71,0.71,32,16.4,2,1.43,1.43,0,0,0.27,1.21,2.07,-0.86,-0.91,-0.82,Matches
603,Álvaro Rodríguez,uy URU,FW,Getafe,20,2004,22,852,39,24.9,9.5,0.74,68,0,1.58,25,0.84,1.05,0.53,0.95,-0.42,-0.42,-0.39,0.88,1.38,-0.51,-0.5,-0.34,Matches
604,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Leganés,26,1998,29,"1,330",46,38.9,14.8,0.81,75,0.34,1.15,25,0.34,0.97,1.01,1.42,-0.41,-0.41,0.07,0.99,1.48,-0.49,-0.49,0.21,Matches
605,Arturo Rodríguez,es ESP,FW,Las Palmas,17,2006,1,21,21,0.6,0.2,0,,0,5,21,0,0,0,5,-5,-4.29,-3.76,0,4.5,-4,-3.59,-2.8,Matches
606,Damián Rodríguez,es ESP,MF,Celta Vigo,21,2003,17,927,55,27.1,10.3,0.97,78,0.58,0.68,21,1.84,1.35,1.94,1.94,0,0,-0.07,1.4,1.33,0.07,0.07,-0.29,Matches
607,Dani Rodríguez,es ESP,"MF,FW",Mallorca,36,1988,37,"2,162",58,63.2,24,1.08,74,0.04,0.46,22,0,1.3,0.88,1.29,-0.42,-0.42,-0.49,0.92,1.09,-0.16,-0.16,0.14,Matches
608,Daniel Rodriguez,es ESP,FW,Barcelona,18,2005,1,37,37,1.1,0.4,2.5,37,0,0,,0,3,0,2.5,-2.5,-2.43,-4.14,1.5,0.75,0.75,0.68,-0.63,Matches
609,James Rodríguez,co COL,"MF,FW",Rayo Vallecano,33,1991,6,140,23,4.1,1.6,0.63,63,0,3.13,15,3.13,1.33,2.5,1.25,1.25,1.29,1.45,1.19,1.5,-0.37,-0.36,-0.28,Matches
610,Javi Rodríguez,es ESP,DF,Celta Vigo,21,2003,36,"2,514",70,73.5,27.9,0.93,85,0.72,0.36,29,0.04,1.53,1.58,1.43,0.14,0.14,0.34,1.41,1.12,0.29,0.29,0.02,Matches
611,Jesus Rodríguez,es ESP,FW,Betis,18,2005,21,"1,111",53,32.5,12.3,1.22,67,0,0.49,17,0.24,1.71,1.63,1.14,0.49,0.49,0.45,1.29,1.18,0.12,0.12,0.02,Matches
612,Kirian Rodríguez,es ESP,MF,Las Palmas,28,1996,21,"1,758",84,51.4,19.5,1.08,84,0.46,0,,0,1.1,1.13,1.49,-0.36,-0.36,0.4,0.88,1.88,-1.01,-1.01,-0.42,Matches
613,Ricardo Rodríguez,ch SUI,DF,Betis,31,1992,18,"1,274",71,37.3,14.2,1.06,79,0.63,0.21,30,1.2,1.83,1.48,1.13,0.35,0.35,0.27,1.44,1.03,0.42,0.42,0.5,Matches
614,Rodrygo,br BRA,"FW,MF",Real Madrid,23,2001,30,"1,928",64,56.4,21.4,1.03,76,0.23,0.37,33,0.05,2.2,1.96,0.79,1.17,1.17,0.26,1.85,1.04,0.82,0.82,-0.09,Matches
615,Leo Román,es ESP,GK,Mallorca,24,2000,7,630,90,18.4,7,1,90,1,0,,4.43,1,0.71,1.43,-0.71,-0.71,-0.59,0.93,2.09,-1.16,-1.15,-1.15,Matches
616,Miguel Román,es ESP,MF,Celta Vigo,21,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
617,Carlos Romero,es ESP,DF,Espanyol,22,2001,34,"2,554",75,74.7,28.4,0.99,84,0.67,0.21,32,0.07,1.12,1.02,1.37,-0.35,-0.35,-0.25,0.89,1.45,-0.56,-0.56,-0.18,Matches
618,Elías Romero,es ESP,FW,Las Palmas,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
619,Isaac Romero,es ESP,FW,Sevilla,24,2000,31,"2,156",70,63,24,1.08,78,0.33,0.21,27,0.04,0.97,1.13,1.54,-0.42,-0.42,-0.2,1.05,1.38,-0.33,-0.32,-0.54,Matches
620,Luka Romero,ar ARG,"FW,MF",Alavés,19,2004,6,199,33,5.8,2.2,0.91,58,0,1.82,21,5.45,0.83,1.36,2.27,-0.91,-0.9,-0.68,0.91,1.68,-0.77,-0.77,-0.7,Matches
621,Oriol Romeu,es ESP,MF,Girona,32,1991,25,"1,356",54,39.6,15.1,1.13,70,0.4,0.53,21,0.33,1.2,1.19,1.79,-0.6,-0.6,-0.29,1.06,1.26,-0.21,-0.2,0.01,Matches
622,Vitor Roque,br BRA,FW,Betis,19,2005,22,"1,235",56,36.1,13.7,1.02,74,0.22,0.58,24,0,1.45,1.31,1.68,-0.36,-0.36,-0.86,1.39,1.42,-0.03,-0.03,-0.21,Matches
623,Valentin Rosier,fr FRA,DF,Leganés,27,1996,32,"2,595",81,75.9,28.8,0.97,89,0.94,0.14,26,0.07,0.75,0.83,1.56,-0.73,-0.73,-1.16,0.92,1.61,-0.69,-0.69,-0.3,Matches
624,Antonio Rüdiger,de GER,DF,Real Madrid,31,1993,29,"2,291",79,67,25.5,1.02,87,0.94,0.12,14,0.04,2.21,2.12,0.98,1.14,1.14,0.26,1.89,1.04,0.85,0.85,-0.02,Matches
625,Aitor Ruibal,es ESP,"DF,FW",Betis,28,1996,29,"1,313",45,38.4,14.6,0.89,75,0.34,1.1,21,0.14,1.66,1.64,1.37,0.27,0.27,0.15,1.33,1.46,-0.13,-0.13,-0.38,Matches
626,Abel Ruiz,es ESP,FW,Girona,24,2000,23,"1,346",59,39.4,15,1.13,70,0.07,0.4,26,0.27,1.09,1,1.4,-0.4,-0.4,0.03,1.08,1.27,-0.19,-0.19,0.02,Matches
627,Ferrán Ruiz,es ESP,MF,Girona,21,2003,1,18,18,0.5,0.2,0,,0,5,18,5,3,0,0,0,0,0.42,0,0,0,0,0.21,Matches
628,Guillermo Ruiz,es ESP,GK,Leganés,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
629,Sergio Ruiz,es ESP,FW,Las Palmas,18,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
630,Iñaki Rupérez,es ESP,DF,Real Sociedad,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
631,Youssouf Sabaly,sn SEN,DF,Betis,31,1993,22,"1,581",72,46.2,17.6,1.14,77,0.57,0.11,23,0.4,1.68,1.14,1.36,-0.23,-0.23,-0.77,1.37,1.23,0.14,0.14,0.06,Matches
632,Omar Sadik,ma MAR,FW,Espanyol,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
633,Umar Sadiq,ng NGA,FW,Valencia,27,1997,16,825,52,24.1,9.2,0.98,71,0.22,0.76,26,0.22,1.69,1.41,1.41,0,0,0.35,1.23,1.18,0.04,0.05,0.36,Matches
634,Umar Sadiq,ng NGA,FW,Real Sociedad,27,1997,7,227,32,6.6,2.5,0.8,64,0,2,20,4.4,1.14,0.4,0.8,-0.4,-0.4,-0.11,0.48,1.48,-0.96,-0.96,-0.98,Matches
635,Jorge Sáenz,es ESP,DF,Leganés,27,1996,23,"1,690",73,49.4,18.8,1.01,83,0.74,0.21,30,0.64,1.22,0.74,1.01,-0.27,-0.27,0.36,0.82,1.29,-0.47,-0.47,0.29,Matches
636,Jan Salas,es ESP,"MF,FW",Mallorca,18,2005,4,43,11,1.3,0.5,0,,0,8,11,22,0.5,0,4,-4,-4.19,-4,0.6,4,-3.4,-3.61,-3.44,Matches
637,Kike Salas,es ESP,DF,Sevilla,22,2002,31,"2,238",72,65.4,24.9,1,87,0.84,0.24,11,0.2,1.1,1.08,1.61,-0.52,-0.52,-0.52,1.06,1.24,-0.18,-0.19,-0.18,Matches
638,Salvi,es ESP,MF,Espanyol,33,1991,0,,,,,0,,0,0,,11,,,,,,,,,,,,Matches
639,Albert Sambi Lokonga,be BEL,MF,Sevilla,24,1999,22,"1,471",67,43,16.3,0.98,82,0.49,0.37,28,0.12,1.18,0.86,1.29,-0.43,-0.43,-0.15,1.05,1.19,-0.13,-0.14,-0.02,Matches
640,Chuky san jose,es ESP,MF,Valladolid,20,2004,18,728,40,21.3,8.1,1.11,60,0.12,1.11,21,1.6,0.22,0.74,3.7,-2.96,-2.97,-1.63,0.86,2.42,-1.56,-1.57,-0.89,Matches
641,Oihan Sancet,es ESP,MF,Athletic Club,24,2000,29,"1,620",56,47.4,18,1.06,69,0.22,0.56,31,0.06,1.93,2.06,0.83,1.22,1.22,1.07,1.59,0.93,0.67,0.66,0.5,Matches
642,Antonio Sánchez,es ESP,"MF,DF",Mallorca,27,1997,33,"1,395",42,40.8,15.5,0.77,77,0.13,1.35,23,0.19,1.39,1.03,0.9,0.13,0.13,0.62,0.96,1.37,-0.41,-0.42,-0.34,Matches
643,Iván Sánchez,es ESP,"MF,FW",Valladolid,31,1992,32,"1,404",44,41.1,15.6,0.71,73,0.13,1.35,29,0.38,0.41,0.77,2.5,-1.73,-1.73,-0.08,0.94,1.92,-0.98,-0.98,-0.19,Matches
644,Javi Sánchez,es ESP,DF,Valladolid,27,1997,25,"2,026",81,59.2,22.5,1.11,81,0.84,0,,0.04,0.6,0.8,2.31,-1.51,-1.51,0.43,0.88,1.79,-0.91,-0.91,-0.09,Matches
645,Juanlu Sánchez,es ESP,"MF,DF",Sevilla,20,2003,32,"1,722",54,50.4,19.1,0.94,81,0.37,0.73,18,0.21,1,1.26,1.73,-0.47,-0.47,-0.26,1.11,1.3,-0.19,-0.19,-0.14,Matches
646,Manu Sánchez,es ESP,DF,Alavés,23,2000,33,"2,634",80,77,29.3,1.02,85,0.68,0.1,24,0.07,1.15,0.92,1.3,-0.38,-0.38,-0.49,1.1,1.26,-0.16,-0.16,-0.22,Matches
647,Maroan Sannadi,es ESP,FW,Athletic Club,23,2001,16,754,47,22,8.4,0.83,75,0.12,1.07,25,0.12,1.81,1.55,0.83,0.71,0.72,0.07,1.4,0.96,0.44,0.44,0.06,Matches
648,Jesús Santiago,es ESP,MF,Getafe,20,2004,19,372,20,10.9,4.1,0.98,52,0,3.66,11,3.9,1.3,0.98,1.22,-0.24,-0.24,-0.12,0.59,1.37,-0.78,-0.77,-0.58,Matches
649,Aleksandar Sedlar,rs SRB,DF,Alavés,32,1991,9,594,66,17.4,6.6,1.06,82,0.61,0.3,9,3.79,1.11,1.36,1.21,0.15,0.15,0.5,1.33,1.23,0.11,0.1,0.26,Matches
650,Sergi,es ESP,DF,Leganés,32,1992,36,"2,957",82,86.5,32.9,1,87,0.82,0.09,29,0.03,1.03,1.03,1.46,-0.43,-0.43,0.16,0.9,1.57,-0.67,-0.67,-0.4,Matches
651,Javier Serrano,es ESP,MF,Atlético Madrid,21,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
652,Nicolás Serrano,es ESP,FW,Athletic Club,21,2003,4,112,28,3.3,1.2,0.83,79,0,2.5,11,11.7,2,0,1.67,-1.67,-1.61,-2.34,1.5,1,0.5,0.46,0.06,Matches
653,Llorenç Serred,es ESP,GK,Espanyol,18,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
654,Ismael Sierra,es ESP,DF,Osasuna,21,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
655,Fábio Silva,pt POR,FW,Las Palmas,22,2002,24,"1,866",78,54.6,20.7,1.06,82,0.43,0.1,37,0,1.21,1.3,1.59,-0.29,-0.29,0.58,0.93,1.92,-1,-0.99,-0.42,Matches
656,Rui Silva,pt POR,GK,Betis,30,1994,15,"1,350",90,39.5,15,1,90,1,0,,0,1.33,1.07,1.2,-0.13,-0.13,-0.52,1.47,1.27,0.2,0.2,0.16,Matches
657,Giuliano Simeone,ar ARG,MF,Atlético Madrid,21,2002,33,"1,926",58,56.3,21.4,1.21,68,0.14,0.33,22,0.23,2.09,2.06,0.84,1.21,1.21,0.49,1.92,0.79,1.13,1.13,0.7,Matches
658,Unai Simón,es ESP,GK,Athletic Club,27,1997,21,"1,890",90,55.3,21,1,90,1,0,,0.19,1.81,1.33,0.67,0.67,0.67,0.02,1.39,1,0.38,0.38,-0.04,Matches
659,Daley Sinkgraven,nl NED,DF,Las Palmas,29,1995,2,91,46,2.7,1,1,45,0,1,46,3,0.5,1,2,-1,-0.99,-0.45,1.3,2.3,-1,-0.98,-0.18,Matches
660,Jailson Siqueira,br BRA,"DF,MF",Celta Vigo,28,1995,13,614,47,18,6.8,0.88,80,0.44,1.03,19,1.47,1.77,2.21,2.06,0.15,0.15,0.11,1.59,1.4,0.19,0.19,-0.12,Matches
661,Antonio Sivera,es ESP,GK,Alavés,27,1996,32,"2,810",88,82.2,31.2,1.03,88,0.96,0,,0,1.16,0.99,1.25,-0.26,-0.26,0.04,1.15,1.28,-0.13,-0.13,-0.1,Matches
662,Justin Smith,ca CAN,MF,Espanyol,21,2003,5,209,42,6.1,2.3,1.3,58,0,0.87,17,1.3,1,1.74,0.87,0.87,0.86,1.23,1.57,1.04,0.52,0.52,1.1,Matches
663,Alex Sola,es ESP,"MF,FW",Getafe,25,1999,19,"1,029",54,30.1,11.4,1.14,68,0,0.53,25,1.4,1.05,0.44,0.88,-0.44,-0.44,-0.44,0.83,0.95,-0.12,-0.12,0.19,Matches
664,Arnau Solà,es ESP,MF,Villarreal,21,2003,1,13,13,0.4,0.1,0,,0,10,13,100,3,0,0,0,0,-0.53,0,2,-2,-1.15,-1.7,Matches
665,Jhon Solis,co COL,MF,Girona,19,2004,19,535,28,15.6,5.9,0.51,76,0.17,2.71,19,2.2,0.95,1.53,3.05,-1.53,-1.51,-1.3,1.29,2.14,-0.85,-0.83,-0.74,Matches
666,Hugo Solozabal,es ESP,MF,Leganés,21,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
667,David Soria,es ESP,GK,Getafe,31,1993,38,"3,420",90,100,38,1,90,1,0,,0,1.11,0.89,1.03,-0.13,-0.13,,0.97,1.22,-0.25,-0.25,,Matches
668,Juan Soriano,es ESP,GK,Leganés,26,1997,6,540,90,15.8,6,1,90,1,0,,5,0.86,0.67,1.33,-0.67,-0.67,-0.26,0.67,1.37,-0.7,-0.7,-0.1,Matches
669,Hugo Sotelo,es ESP,MF,Celta Vigo,20,2003,24,"1,254",52,36.7,13.9,1.08,76,0.29,0.65,13,0.86,1.17,1.51,1.44,0.07,0.07,0.03,1.58,1.02,0.57,0.57,0.44,Matches
670,Djibril Sow,ch SUI,MF,Sevilla,27,1997,30,"2,062",69,60.3,22.9,1.05,81,0.39,0.26,18,0.04,1,0.96,1.22,-0.26,-0.26,0.2,1.04,1.09,-0.05,-0.05,0.18,Matches
671,Gerónimo Spina,ar ARG,DF,Atlético Madrid,19,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
672,Dimitrios Stamatakis,gr GRE,GK,Osasuna,21,2003,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
673,Carl Starfelt,se SWE,DF,Celta Vigo,29,1995,28,"2,270",81,66.4,25.2,1.03,85,0.91,0.08,31,0.08,1.39,1.31,1.39,-0.08,-0.08,-0.39,1.32,0.98,0.34,0.34,0.15,Matches
674,Orri Steinn Óskarsson,is ISL,FW,Real Sociedad,19,2004,23,944,41,27.6,10.5,0.86,66,0.1,1.33,25,0.19,1.22,0.86,1.43,-0.57,-0.57,-0.39,1.2,1.12,0.07,0.07,0.15,Matches
675,Stoichkov,es ESP,"MF,FW",Alavés,30,1993,16,699,44,20.4,7.8,0.77,73,0.26,1.28,26,0.51,1.19,1.28,1.67,-0.38,-0.39,-0.15,1.22,1.45,-0.23,-0.23,-0.15,Matches
676,Cristhian Stuani,uy URU,FW,Girona,37,1986,32,"1,078",34,31.5,12,0.5,79,0,2.17,23,0.5,1.16,1.75,1.25,0.5,0.5,1.35,1.43,1.34,0.09,0.09,0.44,Matches
677,Álex Suárez,es ESP,DF,Las Palmas,31,1993,30,"2,460",82,71.9,27.3,1.1,82,0.66,0,,0.18,0.93,1.03,1.65,-0.62,-0.62,-0.25,0.92,1.74,-0.82,-0.82,-0.06,Matches
678,Denis Suárez,es ESP,MF,Villarreal,30,1994,21,608,29,17.8,6.8,1.03,59,0,2.06,14,1.47,1.57,1.76,1.91,-0.15,-0.15,-0.82,1.43,1.72,-0.29,-0.3,-1.02,Matches
679,Luka Sučić,hr CRO,MF,Real Sociedad,21,2002,29,"1,792",62,52.4,19.9,1.06,78,0.5,0.4,20,0.15,1.21,0.8,1.36,-0.55,-0.55,-0.55,1.22,1.2,0.03,0.03,0.14,Matches
680,Suso,es ESP,"FW,MF",Sevilla,30,1993,16,606,38,17.7,6.7,0.6,86,0.3,1.79,22,2.09,1.25,1.49,1.64,-0.15,-0.15,0.24,1.78,1.03,0.75,0.74,1.05,Matches
681,Williot Swedberg,se SWE,"FW,MF",Celta Vigo,20,2004,32,"1,348",42,39.4,15,1,62,0,1.13,25,0.07,1.28,1.93,1.27,0.67,0.67,1.02,1.71,1.14,0.57,0.56,0.46,Matches
682,Grégoire Swiderski,ca CAN,GK,Alavés,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
683,Mamadou Sylla,sn SEN,"FW,MF",Valladolid,30,1994,29,"1,583",55,46.3,17.6,0.97,79,0.34,0.68,20,0.34,0.45,0.8,2.67,-1.87,-1.88,-0.36,0.93,1.91,-0.98,-0.98,-0.21,Matches
684,Wojciech Szczęsny,pl POL,GK,Barcelona,34,1990,15,"1,350",90,39.5,15,1,90,1,0,,0.93,2.87,2.87,0.8,2.07,2.07,0.68,2.32,0.91,1.41,1.42,0.19,Matches
685,Alexander Sørloth,no NOR,FW,Atlético Madrid,28,1995,35,"1,566",45,45.8,17.4,0.86,68,0.11,1.15,27,0.11,2.06,2.3,0.75,1.55,1.55,1.02,2.03,0.8,1.22,1.23,0.75,Matches
686,Renato Tapia,pe PER,"MF,DF",Leganés,29,1995,34,"2,424",71,70.9,26.9,1.04,81,0.59,0.22,26,0,1.03,1.19,1.75,-0.56,-0.56,-0.38,0.96,1.63,-0.67,-0.67,-0.18,Matches
687,César Tárrega,es ESP,DF,Valencia,22,2002,34,"3,026",89,88.5,33.6,1.01,89,0.98,0,,0.09,1.24,1.1,1.34,-0.24,-0.24,0.22,1.12,1.31,-0.19,-0.19,0.34,Matches
688,Aurélien Tchouaméni,fr FRA,"DF,MF",Real Madrid,24,2000,32,"2,689",84,78.6,29.9,1.04,86,0.9,0.03,10,0,2.06,1.87,1.04,0.84,0.84,-1.01,1.71,1.15,0.56,0.56,-1.4,Matches
689,Álvaro Tejero,es ESP,"MF,DF",Espanyol,28,1996,28,"1,238",44,36.2,13.8,0.94,75,0.29,1.09,18,0.65,0.96,1.16,1.88,-0.72,-0.73,-0.69,0.78,1.71,-0.93,-0.93,-0.66,Matches
690,Martín Tejón,es ESP,"MF,DF",Valencia,20,2004,4,49,12,1.4,0.5,0,,0,8,12,14,0,0,2,-2,-1.84,-1.6,0.8,2,-1.2,-1.19,-0.97,Matches
691,Nahuel Tenaglia,ar ARG,DF,Alavés,28,1996,34,"2,922",86,85.4,32.5,1.02,88,0.92,0.03,19,0.03,1.03,0.92,1.23,-0.31,-0.31,-0.31,1.13,1.25,-0.12,-0.12,-0.08,Matches
692,Marc-André ter Stegen,de GER,GK,Barcelona,32,1992,8,674,84,19.7,7.5,1.07,84,0.93,0,,0.4,2.63,3.07,1.2,1.87,1.87,0.26,2.44,1.07,1.36,1.37,0.08,Matches
693,Ramón Terrats,es ESP,"MF,FW",Villarreal,23,2000,11,131,12,3.8,1.5,0.67,45,0,6.67,9,3.33,1.73,1.33,2.67,-1.33,-1.37,-1.98,1.33,2.33,-1.07,-1.07,-1.67,Matches
694,Ramón Terrats,es ESP,"MF,FW",Getafe,23,2000,15,"1,219",81,35.6,13.5,1.11,81,0.3,0,,0,1.2,1.11,1.11,0,0,0.2,0.88,1.24,-0.36,-0.36,-0.17,Matches
695,Raúl de Tomás,es ESP,"DF,FW",Rayo Vallecano,29,1994,2,22,11,0.6,0.2,0,,0,10,11,90,0,0,10,-10,-8.18,-8.13,1,6.5,-6,-4.83,-4.77,Matches
696,Pablo Torre,es ESP,"MF,FW",Barcelona,21,2003,10,310,31,9.1,3.4,1.18,56,0,1.76,15,7.65,2.2,2.65,1.18,1.47,1.45,-0.23,2.06,1.47,0.59,0.57,-0.8,Matches
697,David Torres,es ESP,DF,Valladolid,21,2003,18,"1,387",77,40.6,15.4,0.97,84,0.84,0.19,41,0.97,0.61,0.71,2.4,-1.69,-1.69,0,0.8,1.87,-1.06,-1.07,-0.33,Matches
698,Ferrán Torres,es ESP,"FW,MF",Barcelona,24,2000,27,"1,106",41,32.3,12.3,0.98,64,0.16,1.22,22,0.16,2.33,2.85,1.71,1.14,1.14,-0.77,2.51,1.27,1.24,1.24,-0.09,Matches
699,Lucas Torró,es ESP,MF,Osasuna,30,1994,35,"2,957",84,86.5,32.9,1.06,84,0.79,0,,0.03,1.43,1.25,1.28,-0.03,-0.03,0.55,1.13,1.3,-0.17,-0.17,0.58,Matches
700,Hamari Traoré,ml MLI,DF,Real Sociedad,32,1992,11,700,64,20.5,7.8,1.15,71,0.13,0.26,29,0.77,1.09,1.03,0.9,0.13,0.13,0.53,0.97,1.22,-0.24,-0.24,-0.26,Matches
