Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
18,Raúl Albiol,es ESP,DF,Villarreal,38,1985,13.2,10,9,9,1,0,6,10,60,4,10,9,1,6,16,69,1,Matches
19,Omar Alderete,py PAR,DF,Getafe,27,1996,33,43,29,30,11,2,20,30,66.7,10,38,22,16,40,83,241,1,Matches
20,Carles Aleñá,es ESP,"MF,FW",Getafe,26,1998,5,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,Matches
21,Carles Aleñá,es ESP,"MF,FW",Alavés,26,1998,12.1,19,12,6,7,6,7,17,41.2,10,11,0,11,2,21,4,0,Matches
22,Alfon,es ESP,"FW,MF",Celta Vigo,25,1999,15.2,8,3,3,2,3,4,12,33.3,8,8,0,8,5,13,5,1,Matches
23,Tadeo Allende,ar ARG,FW,Celta Vigo,25,1999,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
24,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24,2000,22,48,32,18,21,9,14,39,35.9,25,21,3,18,8,56,14,1,Matches
25,Iker Almena,es ESP,"FW,DF",Girona,20,2004,0.5,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,29.4,35,21,19,13,3,25,44,56.8,19,22,7,15,34,69,126,4,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,18.1,41,24,26,12,3,24,40,60,16,15,6,9,15,56,54,2,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,21.9,61,37,17,38,6,36,60,60,24,28,1,27,24,85,43,3,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,17.5,26,9,12,10,4,10,19,52.6,9,19,2,17,8,34,29,1,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,27.9,25,17,5,11,9,8,30,26.7,22,14,0,14,2,27,12,1,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,19.8,25,13,14,9,2,15,22,68.2,7,10,6,4,34,59,129,1,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,15.3,30,18,10,18,2,10,18,55.6,8,24,2,22,14,44,5,1,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,4.2,2,0,2,0,0,1,8,12.5,7,7,1,6,2,4,6,0,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,13.2,10,6,3,5,2,5,13,38.5,8,18,2,16,3,13,10,0,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,11.4,21,10,9,8,4,9,21,42.9,12,14,2,12,8,29,11,1,Matches
