Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
28,Jan Oblak,si SVN,GK,Atlético Madrid,31,1993,36,30,5,1,3,2,25.6,0.19,-2.4,-0.07,109,277,39.4,670,183,24.3,30.2,277,41.2,36.7,488,28,5.7,28,0.78,14,Matches
29,Jesús Owono,gq EQG,GK,Alavés,23,2001,5.4,7,1,0,2,0,5.4,0.37,-1.6,-0.29,46,105,43.8,126,12,55.6,43,36,97.2,67.5,66,6,9.1,2,0.37,8.9,Matches
30,Alex Padilla,es ESP,GK,Athletic Club,20,2003,3.6,6,1,0,1,1,4.8,0.26,-0.2,-0.06,27,78,34.6,98,15,58.2,41.5,22,95.5,64.5,57,2,3.5,3,0.84,13.4,Matches
31,Iñaki Peña,es ESP,GK,Barcelona,25,1999,15.5,18,2,0,1,0,16.7,0.29,-1.3,-0.08,23,78,29.5,546,80,10.8,24.7,84,22.6,30.3,143,3,2.1,89,5.74,23.5,Matches
32,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,2,0,1,0,0,0.5,0.23,-1.5,-1.53,7,15,46.7,38,5,34.2,34.9,5,40,39,14,1,7.1,1,1,11.4,Matches
33,Álex Remiro,es ESP,GK,Real Sociedad,29,1995,36,43,5,0,5,0,38,0.26,-5,-0.14,180,477,37.7,1053,111,31.4,32.6,234,62.4,48.9,446,29,6.5,40,1.11,14.4,Matches
34,Adrian Rodriguez,es ESP,GK,Alavés,23,2000,1.4,2,1,0,0,0,1.5,0.13,-0.5,-0.36,18,48,37.5,26,0,92.3,56.3,24,100,67.4,33,0,0,0,0,9.8,Matches
35,Leo Román,es ESP,GK,Mallorca,24,2000,7,10,1,0,1,0,13.5,0.26,3.5,0.5,48,139,34.5,188,18,53.2,41.8,52,75,57.5,127,8,6.3,6,0.86,11.2,Matches
36,Rui Silva,pt POR,GK,Betis,30,1994,15,18,3,0,3,1,18.4,0.3,1.4,0.1,45,144,31.3,446,70,26,30.8,76,36.8,35.9,194,10,5.2,31,2.07,18.9,Matches
37,Unai Simón,es ESP,GK,Athletic Club,27,1997,21,14,1,0,2,0,16.3,0.24,2.3,0.11,106,284,37.3,533,91,36.2,34.4,117,77.8,58.3,249,19,7.6,28,1.33,15.5,Matches
38,Antonio Sivera,es ESP,GK,Alavés,27,1996,31.2,39,9,2,2,2,39,0.28,2,0.06,297,724,41,735,70,71.8,47.7,229,85.6,60,453,30,6.6,29,0.93,12.7,Matches
39,David Soria,es ESP,GK,Getafe,31,1993,38,39,8,0,5,0,42,0.29,3,0.08,300,799,37.5,719,68,72.6,48.8,304,91.1,61.5,479,25,5.2,39,1.03,14.7,Matches
40,Juan Soriano,es ESP,GK,Leganés,26,1997,6,7,0,0,1,1,8.8,0.36,2.8,0.47,36,120,30,131,20,56.5,43.9,54,85.2,62.8,130,7,5.4,0,0,8.4,Matches
41,Wojciech Szczęsny,pl POL,GK,Barcelona,34,1990,15,12,1,0,1,0,12,0.35,0,0,24,63,38.1,398,61,12.3,25.1,54,25.9,31,130,7,5.4,56,3.73,20.2,Matches
42,Marc-André ter Stegen,de GER,GK,Barcelona,32,1992,7.5,9,1,0,1,0,6.4,0.26,-2.6,-0.34,15,31,48.4,224,40,12.1,26.5,27,14.8,32,83,5,6,13,1.74,17,Matches
43,Fran Vieites,es ESP,GK,Betis,25,1999,4,5,0,0,0,0,4.7,0.42,-0.3,-0.09,12,54,22.2,90,16,40,38,29,62.1,46.4,65,6,9.2,4,1,12.8,Matches
44,Iván Villar,es ESP,GK,Celta Vigo,27,1997,4,9,0,0,3,2,8.2,0.4,1.2,0.3,3,22,13.6,82,15,14.6,24,35,28.6,26.9,65,1,1.5,5,1.25,14.8,Matches
45,Krapyvtsov Vladyslav,ua UKR,GK,Girona,19,2005,2,7,1,0,2,0,6.3,0.31,-0.7,-0.37,10,21,47.6,63,13,31.7,35.6,7,14.3,28.6,27,1,3.7,1,0.5,12.9,Matche
