Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Marcos Alonso,es ESP,DF,Celta Vigo,33,1990,31,29,"2,647",29.4,0.1,0,0.1,0,0.1,0.1,0.34,0.07,0.14,0.05,0.04,0.1,2.18,7.31,1.67,0.1,0,0.1,0,0,0.14,0.04,0.18,0.05,0.1,Matches
27,Adrià Altimira,es ESP,"DF,FW",Leganés,23,2001,22,19,"1,630",18.1,0,0,0,0,0,0,0.33,0,0.02,0.02,0.03,0.04,1.27,2.32,3.81,0,0,0,0,0,0.02,0.03,0.04,0.02,0.04,Matches
28,Sergi Altimira,es ESP,MF,Betis,22,2001,32,22,"1,972",21.9,0,0.05,0.05,0,0,0,0.18,0,0.08,0.07,0.08,0.15,1.14,4.52,1.37,0,0.05,0.05,0,0.05,0.08,0.08,0.16,0.07,0.15,Matches
29,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21,2003,26,16,"1,572",17.5,0.23,0.17,0.4,0.23,0,0,0.34,0,0.14,0.14,0.06,0.21,4.23,3.43,9.77,0.23,0.17,0.4,0.23,0.4,0.14,0.07,0.21,0.14,0.21,Matches
30,Julián Álvarez,ar ARG,FW,Atlético Madrid,24,2000,37,30,"2,509",27.9,0.61,0.14,0.75,0.47,0.14,0.14,0.18,0,0.51,0.39,0.19,0.58,2.83,3.3,5.81,0.61,0.14,0.75,0.47,0.61,0.51,0.19,0.7,0.39,0.59,Matches
31,Yeray Álvarez,es ESP,DF,Athletic Club,29,1995,21,20,"1,781",19.8,0.05,0,0.05,0.05,0,0,0.2,0,0.03,0.03,0.01,0.04,0.96,5.3,0,0.05,0,0.05,0.05,0.05,0.02,0.01,0.04,0.02,0.04,Matches
32,Selim Amallah,ma MAR,MF,Valladolid,27,1996,24,18,"1,376",15.3,0.2,0.07,0.26,0.13,0.07,0.07,0.39,0,0.23,0.18,0.07,0.25,1.57,3.73,1.76,0.2,0.07,0.26,0.13,0.2,0.23,0.07,0.3,0.18,0.25,Matches
33,Amath,sn SEN,"FW,DF",Valladolid,28,1996,13,5,375,4.2,0,0.24,0.24,0,0,0,0.24,0,0.1,0.1,0.12,0.21,2.38,2.86,6.9,0,0.24,0.24,0,0.24,0.09,0.13,0.21,0.09,0.21,Matches
34,Marcos André,br BRA,FW,Valladolid,27,1996,22,14,"1,188",13.2,0.08,0.15,0.23,0.08,0,0,0.38,0,0.2,0.2,0.06,0.27,0.83,1.21,2.95,0.08,0.15,0.23,0.08,0.23,0.2,0.06,0.27,0.2,0.27,Matches
35,Leandro Antonetti,pr PUR,FW,Sevilla,21,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.33,0.33,0,0.67,3.33,0,10,0,0,0,0,0,0.45,0.09,0.54,0.45,0.54,Matches
36,Antoniu,es ESP,"FW,MF",Espanyol,21,2002,26,13,"1,022",11.4,0,0.09,0.09,0,0,0,0.26,0,0.08,0.08,0.1,0.17,3.07,2.46,5.53,0,0.09,0.09,0,0.09,0.08,0.1,0.17,0.08,0.17,Matches
37,Antony,br BRA,FW,Betis,24,2000,17,15,"1,362",15.1,0.33,0.13,0.46,0.33,0,0,0.13,0.07,0.19,0.19,0.23,0.42,6.23,4.44,10.4,0.33,0.13,0.46,0.33,0.46,0.19,0.23,0.42,0.19,0.42,Matches
38,Anuar,ma MAR,"MF,FW",Valladolid,29,1995,26,21,"1,720",19.1,0.1,0,0.1,0.1,0,0,0.37,0,0.09,0.09,0.06,0.15,1.26,1.57,3.56,0.1,0,0.1,0.1,0.1,0.09,0.06,0.15,0.09,0.15,Matches
39,Aritz Arambarri,es ESP,DF,Leganés,26,1998,2,2,177,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.01,0,0.01,0.01,0.01,Matches
40,Mauro Arambarri,uy URU,MF,Getafe,28,1995,35,31,"2,661",29.6,0.34,0,0.34,0.24,0.1,0.1,0.34,0,0.28,0.2,0.02,0.22,0.57,2.53,1.86,0.34,0,0.34,0.24,0.24,0.28,0.02,0.3,0.2,0.22,Matches
41,Jon Aramburu,ve VEN,DF,Real Sociedad,22,2002,35,28,"2,460",27.3,0.04,0.04,0.07,0.04,0,0,0.29,0,0.01,0.01,0.04,0.06,0.95,3.55,1.94,0.04,0.04,0.07,0.04,0.07,0.02,0.04,0.06,0.02,0.06,Matches
42,Ronald Araújo,uy URU,DF,Barcelona,25,1999,12,11,754,8.4,0.12,0.12,0.24,0.12,0,0,0.36,0,0.12,0.12,0.05,0.17,0.71,5.83,0.36,0.12,0.12,0.24,0.12,0.24,0.11,0.05,0.17,0.11,0.17,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,5,15,10,0,0,0,0,0,0,0,0,0,0,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,36,35,"3,079",34.2,0,0.09,0.09,0,0,0,0.26,0,0.01,0.01,0.1,0.11,2.95,3.1,5.94,0,0.09,0.09,0,0.09,0.01,0.1,0.11,0.01,0.11,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,15,1,133,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.07,0.33,4,2.67,13.3,0,0,0,0,0,0.22,0.1,0.32,0.22,0.32,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,21,13,"1,054",11.7,0.17,0.09,0.26,0.17,0,0,0,0,0.23,0.23,0.06,0.29,2.39,1.71,6.5,0.17,0.09,0.26,0.17,0.26,0.23,0.06,0.29,0.23,0.29,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,23,18,"1,670",18.6,0,0.05,0.05,0,0,0,0.16,0,0.01,0.01,0.03,0.04,0.27,1.45,0.22,0,0.05,0.05,0,0.05,0.01,0.03,0.04,0.01,0.04,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,30,19,"1,745",19.4,0.52,0.26,0.77,0.26,0.26,0.31,0.31,0.05,0.45,0.21,0.24,0.44,2.58,6.8,7.37,0.52,0.26,0.77,0.26,0.52,0.45,0.24,0.69,0.21,0.44,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,27,15,"1,405",15.6,0.19,0.06,0.26,0.19,0,0,0.13,0,0.13,0.13,0.18,0.31,4.62,4.94,8.97,0.19,0.06,0.26,0.19,0.26,0.13,0.18,0.31,0.13,0.31,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,19,6,677,7.5,0.27,0,0.27,0.27,0,0,0.67,0.13,0.2,0.2,0.13,0.33,1.6,2.4,6.4,0.27,0,0.27,0.27,0.27,0.2,0.14,0.34,0.2,0.34,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,13,10,876,9.7,0,0,0,0,0,0,0.1,0,0.03,0.03,0.03,0.06,1.65,2.58,2.68,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,14,10,875,9.7,0.1,0,0.1,0.1,0,0,0.1,0,0.02,0.02,0.01,0.03,1.34,6.8,2.06,0.1,0,0.1,0.1,0.1,0.02,0.01,0.03,0.02,0.03,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,1,0,48,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0.06,0,0.06,0.06,0.06,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,32,31,"2,686",29.8,0.03,0.03,0.07,0.03,0,0,0.23,0.03,0.02,0.02,0.02,0.04,0.37,2.08,0.2,0.03,0.03,0.07,0.03,0.07,0.02,0.02,0.04,0.02,0.04,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,32,30,"2,595",28.8,0.24,0.31,0.56,0.24,0,0.03,0.31,0,0.25,0.22,0.41,0.63,3.16,6.56,5.35,0.24,0.31,0.55,0.24,0.55,0.25,0.41,0.65,0.22,0.63,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,12,10,864,9.6,0,0,0,0,0,0,0.1,0,0.03,0.03,0,0.03,0,1.35,0.1,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,12,8,617,6.9,0,0,0,0,0,0,0.29,0.14,0.04,0.04,0,0.04,0.14,2.61,0,0,0,0,0,0,0.05,0,0.05,0.05,0.05,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,14,12,969,10.8,0.09,0,0.09,0.09,0,0,0.37,0,0.03,0.03,0.02,0.05,0.74,3.61,0.83,0.09,0,0.09,0.09,0.09,0.03,0.02,0.05,0.03,0.05,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,25,6,710,7.9,0.25,0.25,0.51,0.25,0,0,0.51,0,0.41,0.41,0.08,0.47,1.14,1.77,5.44,0.25,0.25,0.51,0.25,0.51,0.4,0.07,0.47,0.4,0.47,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,32,26,"2,284",25.4,0,0.16,0.16,0,0,0,0.08,0,0.02,0.02,0.13,0.15,4.21,3.66,9.69,0,0.16,0.16,0,0.16,0.02,0.13,0.15,0.02,0.15,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,25,12,"1,200",13.3,0,0,0,0,0,0,0.23,0,0,0,0.04,0.04,0.6,3.46,1.58,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,12,10,811,9,0,0.11,0.11,0,0,0,0.11,0,0.09,0.09,0.2,0.29,3.44,3.33,7.89,0,0.11,0.11,0,0.11,0.09,0.2,0.29,0.09,0.29,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,5,0,49,0.5,0,0,0,0,0,0,0,0,0.8,0.8,0,0.8,0,2,0,0,0,0,0,0,0.71,0,0.71,0.71,0.71,Matches
