Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
43,Adu Ares,es ESP,FW,Athletic Club,22,2001,0.2,1,4.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
44,Jesús Areso,es ESP,DF,Osasuna,25,1999,34.2,73,2.13,55,12,2,1,3,0,9,0.26,7,2,0,0,0,0,Matches
45,David Argüelles,es ESP,MF,Getafe,22,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,José Arnaiz,es ESP,"FW,MF",Osasuna,29,1995,1.5,9,6.04,6,1,0,1,1,0,0,0,0,0,0,0,0,0,Matches
47,Sergio Arribas,es ESP,DF,Betis,21,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
48,Takuma Asano,jp JPN,"FW,MF",Mallorca,29,1994,11.7,22,1.88,16,0,2,2,2,0,2,0.17,2,0,0,0,0,0,Matches
49,Raúl Asencio,es ESP,DF,Real Madrid,21,2003,18.6,12,0.65,11,0,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches
50,Iago Aspas,es ESP,"FW,MF",Celta Vigo,36,1987,19.4,74,3.82,66,1,2,3,2,0,13,0.67,11,0,0,1,1,0,Matches
51,Yaser Asprilla,co COL,"FW,MF",Girona,20,2003,15.6,61,3.91,45,7,7,1,1,0,7,0.45,5,2,0,0,0,0,Matches
52,Ezequiel Ávila,ar ARG,FW,Betis,30,1994,7.5,31,4.12,24,0,1,2,4,0,3,0.4,3,0,0,0,0,0,Matches
53,Adam Aznou,ma MAR,DF,Valladolid,18,2006,9.7,16,1.64,11,3,2,0,0,0,0,0,0,0,0,0,0,0,Matches
54,César Azpilicueta,es ESP,DF,Atlético Madrid,34,1989,9.7,8,0.82,5,2,0,0,0,1,1,0.1,1,0,0,0,0,0,Matches
55,Papa Ba,es ESP,MF,Girona,19,2004,0.5,2,3.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
56,Loïc Bade,fr FRA,DF,Sevilla,24,2000,29.8,23,0.77,20,0,1,2,0,0,2,0.07,2,0,0,0,0,0,Matches
57,Alex Baena,es ESP,"MF,FW",Villarreal,23,2001,28.8,169,5.86,108,41,4,11,4,1,21,0.73,17,2,1,0,1,0,Matches
58,Juma Bah,sl SLE,DF,Valladolid,18,2006,9.6,2,0.21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
59,Eric Bailly,ci CIV,DF,Villarreal,30,1994,6.9,2,0.29,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
60,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,19,2004,10.8,14,1.3,10,0,0,2,2,0,1,0.09,0,0,0,1,0,0,Matches
61,Cédric Bakambu,cd COD,FW,Betis,33,1991,7.9,11,1.39,9,0,0,1,1,0,3,0.38,2,0,0,0,1,0,Matches
62,Alejandro Balde,es ESP,DF,Barcelona,20,2003,25.4,76,2.99,60,3,3,3,7,0,12,0.47,10,0,0,0,2,0,Matches
63,Iván Balliu,al ALB,DF,Rayo Vallecano,32,1992,13.3,19,1.43,14,3,0,1,1,0,1,0.08,1,0,0,0,0,0,Matches
64,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,28,1996,9,28,3.11,24,0,2,2,0,0,4,0.44,4,0,0,0,0,0,Matches
65,Adrian Baquerin,es ESP,FW,Valladolid,17,2007,0.5,1,1.87,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
66,Valentín Barco,ar ARG,"DF,FW",Sevilla,20,2004,3.2,10,3.12,5,4,0,1,0,0,0,0,0,0,0,0,0,0,Matches
67,Borna Barišić,hr CRO,DF,Leganés,31,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
68,Kike Barja,es ESP,"FW,MF",Osasuna,27,1997,3.5,18,5.14,9,4,3,0,2,0,2,0.57,1,0,0,0,1,0,Matches
69,Enzo Barrenechea,ar ARG,MF,Valencia,23,2001,24.3,44,1.81,35,1,0,1,3,4,8,0.33,5,1,0,0,1,1,Matches
70,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,22,2001,14,42,2.99,31,1,2,5,1,2,6,0.43,4,0,0,2,0,0,Matches
71,Pablo Barrios,es ESP,MF,Atlético Madrid,21,2003,25.9,66,2.55,58,1,1,3,1,2,11,0.43,11,0,0,0,0,0,Matches
72,Thierno Barry,fr FRA,FW,Villarreal,21,2002,25.8,46,1.78,32,0,3,6,3,2,6,0.23,5,0,1,0,0,0,Matches
73,Marc Bartra,es ESP,DF,Betis,33,1991,23.3,13,0.56,10,0,1,2,0,0,3,0.13,1,0,0,2,0,0,Matches
74,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
75,Augusto Batalla,ar ARG,GK,Rayo Vallecano,28,1996,32,7,0.22,6,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
76,Rafael Bauza,es ESP,MF,Espanyol,19,2005,2,1,0.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
77,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,29,1995,11.1,21,1.9,17,0,2,1,1,0,1,0.09,1,0,0,0,0,0,Matches
78,Donny van de Beek,nl NED,MF,Girona,27,1997,15.8,28,1.77,27,0,0,1,0,0,2,0.13,2,0,0,0,0,0,Matches
79,Luken Beitia,es ESP,DF,Real Sociedad,20,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
80,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,19,2004,0.8,1,1.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
81,Héctor Bellerín,es ESP,DF,Betis,29,1995,6.4,12,1.86,11,0,1,0,0,0,2,0.31,2,0,0,0,0,0,Matches
82,Jude Bellingham,eng ENG,MF,Real Madrid,21,2003,27.6,105,3.8,85,1,5,8,3,3,13,0.47,11,0,0,1,1,0,Matches
83,Fran Beltrán,es ESP,MF,Celta Vigo,25,1999,26.9,43,1.6,38,0,1,4,0,0,4,0.15,4,0,0,0,0,0,Matches
84,Carlos Benavídez,uy URU,MF,Alavés,26,1998,5.4,11,2.04,9,0,1,0,0,1,3,0.56,3,0,0,0,0,0,Matches
85,Iker Benito,es ESP,"FW,MF",Osasuna,21,2002,0.4,1,2.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
86,Yuri Berchiche,es ESP,DF,Athletic Club,34,1990,22.7,40,1.76,33,3,0,1,1,2,2,0.09,2,0,0,0,0,0,Matches
87,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29,1995,26,98,3.77,64,19,9,2,2,2,14,0.54,6,4,2,1,1,0,Matches
88,Marc Bernal,es ESP,MF,Barcelona,17,2007,2.7,1,0.37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
89,Juan Bernat,es ESP,"DF,MF",Villarreal,31,1993,2.4,8,3.4,7,0,0,1,0,0,1,0.42,1,0,0,0,0,0,Matches
90,Juan Bernat,es ESP,"MF,DF",Getafe,31,1993,7.8,10,1.29,10,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
91,Juan Berrocal,es ESP,DF,Getafe,25,1999,11.8,6,0.51,4,1,0,0,0,1,1,0.08,1,0,0,0,0,0,Matches
92,Antonio Blanco,es ESP,MF,Alavés,24,2000,30.3,45,1.49,38,3,0,1,1,2,1,0.03,1,0,0,0,0,0,Matches
