Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
444,Nicolas Pépé,ci CIV,"FW,MF",Villarreal,29,1995,16.7,499,631,79.1,6872,1622,300,329,91.2,145,185,78.4,29,51,56.9,6,4.8,4.1,1.2,33,25,27,3,60,Matches
445,Peque,es ESP,"MF,FW",Sevilla,21,2002,12.6,279,349,79.9,4138,852,165,192,85.9,86,105,81.9,17,26,65.4,1,1.2,0.9,-0.2,12,25,6,1,35,Matches
446,Ayoze Pérez,es ESP,FW,Villarreal,31,1993,21.9,314,414,75.8,5024,1316,143,175,81.7,138,166,83.1,19,30,63.3,2,3,1.9,-1,32,37,21,5,73,Matches
447,Carles Pérez,es ESP,"MF,FW",Getafe,26,1998,15.9,226,336,67.3,3455,818,130,165,78.8,73,103,70.9,16,40,40,0,1.5,1.3,-1.5,17,17,14,8,20,Matches
448,Francisco Perez,es ESP,"FW,MF",Valencia,21,2002,6.3,169,230,73.5,2529,533,108,119,90.8,43,62,69.4,13,24,54.2,0,2.6,1.5,-2.6,7,7,6,2,13,Matches
449,Kike Pérez,es ESP,MF,Valladolid,27,1997,13.2,440,564,78,8065,2480,183,220,83.2,191,217,88,49,92,53.3,0,1,1.1,-1,17,47,5,0,67,Matches
450,Luis Pérez,es ESP,DF,Valladolid,29,1995,28.4,905,1195,75.7,16078,5899,408,464,87.9,371,486,76.3,113,191,59.2,0,2.1,2.6,-2.1,27,57,32,29,89,Matches
451,Romain Perraud,fr FRA,DF,Betis,26,1997,22.2,921,1157,79.6,12710,4374,570,625,91.2,276,347,79.5,32,88,36.4,2,1.6,1.4,0.4,16,61,16,11,62,Matches
452,Valentín Pezzolesi,es ESP,DF,Las Palmas,17,2007,0.1,2,5,40,45,4,0,2,0,2,3,66.7,0,0,,0,0,0,0,0,0,0,0,0,Matches
453,Pica,es ESP,DF,Alavés,22,2002,5.5,155,201,77.1,3111,1328,48,60,80,84,96,87.5,23,41,56.1,0,0,0,0,1,15,1,0,15,Matches
454,Yeremi Pino,es ESP,"MF,FW",Villarreal,21,2002,21.5,523,708,73.9,7895,2225,298,366,81.4,181,229,79,29,45,64.4,7,5.3,3.8,1.7,37,35,32,8,66,Matches
455,Portu,es ESP,"FW,MF",Girona,32,1992,8.7,169,237,71.3,2427,444,106,130,81.5,53,63,84.1,7,23,30.4,2,1.7,1.5,0.3,14,12,7,3,16,Matches
456,Beñat Prados,es ESP,MF,Athletic Club,23,2001,19.1,647,789,82,10848,2659,292,342,85.4,301,346,87,40,69,58,0,1.1,1.3,-1.1,11,70,6,1,78,Matches
457,Abdón Prats,es ESP,"FW,MF",Mallorca,31,1992,5.1,58,87,66.7,837,164,34,46,73.9,16,24,66.7,4,6,66.7,0,0.1,0.1,-0.1,3,5,1,0,7,Matches
458,Javi Puado,es ESP,"FW,MF",Espanyol,26,1998,33,521,678,76.8,7991,1449,271,323,83.9,192,229,83.8,35,66,53,4,3,2.1,1,22,36,15,4,75,Matches
459,Dani Raba,es ESP,"FW,MF",Leganés,28,1995,20.9,435,648,67.1,7619,2499,197,239,82.4,167,228,73.2,54,132,40.9,6,5.3,4.6,0.7,47,50,24,4,69,Matches
460,Arnau Rafús,es ESP,GK,Valladolid,21,2003,1,33,43,76.7,1001,672,4,4,100,20,21,95.2,9,17,52.9,0,0,0,0,0,0,0,0,0,Matches
461,Antonio Raillo,es ESP,DF,Mallorca,32,1991,35.6,1572,1773,88.7,29700,10641,530,577,91.9,881,943,93.4,138,207,66.7,0,1.6,1,-1.6,13,86,6,0,108,Matches
462,Benito Ramírez,es ESP,"DF,FW",Las Palmas,29,1995,5.3,259,326,79.4,4000,1078,147,158,93,91,102,89.2,16,41,39,0,0.9,1,-0.9,13,11,8,6,16,Matches
463,Sandro Ramírez,es ESP,"FW,MF",Las Palmas,29,1995,22.6,438,682,64.2,7317,2293,206,270,76.3,174,236,73.7,39,107,36.4,3,3.4,3.2,-0.4,28,33,10,3,52,Matches
